"","ID","run_team","def_team","run_length","start_score","end_score","run_start","run_end","time","time_clean"
"776","5732549","North Carolina","Georgia Tech",2,"0-2","2-2","1H-18:03","1H-18:03",0,"0:00"
"777","5732549","North Carolina","Georgia Tech",2,"2-5","4-5","1H-16:38","1H-16:38",0,"0:00"
"778","5732549","North Carolina","Georgia Tech",2,"4-9","6-9","1H-13:59","1H-13:59",0,"0:00"
"779","5732549","North Carolina","Georgia Tech",2,"6-14","8-14","1H-11:40","1H-11:40",0,"0:00"
"780","5732549","Georgia Tech","North Carolina",2,"14-8","16-8","1H-10:48","1H-10:48",0,"0:00"
"781","5732549","North Carolina","Georgia Tech",2,"21-19","23-19","1H-05:14","1H-05:14",0,"0:00"
"782","5732549","Georgia Tech","North Carolina",2,"24-29","26-29","1H-02:19","1H-02:19",0,"0:00"
"783","5732549","North Carolina","Georgia Tech",2,"29-26","31-26","1H-01:58","1H-01:58",0,"0:00"
"784","5732549","Georgia Tech","North Carolina",2,"31-36","33-36","2H-15:00","2H-15:00",0,"0:00"
"785","5732549","North Carolina","Georgia Tech",2,"36-33","38-33","2H-14:27","2H-14:27",0,"0:00"
"786","5732549","North Carolina","Georgia Tech",2,"42-44","44-44","2H-09:52","2H-09:52",0,"0:00"
"787","5732549","North Carolina","Georgia Tech",2,"47-48","49-48","2H-08:16","2H-08:16",0,"0:00"
"788","5732549","Georgia Tech","North Carolina",2,"52-53","54-53","2H-06:21","2H-06:21",0,"0:00"
"789","5732549","North Carolina","Georgia Tech",2,"53-54","55-54","2H-05:40","2H-05:40",0,"0:00"
"790","5732549","Georgia Tech","North Carolina",2,"55-59","57-59","2H-03:31","2H-03:31",0,"0:00"
"791","5732549","North Carolina","Georgia Tech",2,"64-61","66-61","2H-00:18","2H-00:18",0,"0:00"
"792","5732549","Georgia Tech","North Carolina",2,"61-66","63-66","2H-00:13","2H-00:13",0,"0:00"
"793","5732549","North Carolina","Georgia Tech",2,"66-63","68-63","2H-00:06","2H-00:06",0,"0:00"
"794","5732549","Georgia Tech","North Carolina",2,"63-68","65-68","2H-00:00","2H-00:00",0,"0:00"
"795","5732557","Louisville","North Carolina",2,"0-0","2-0","1H-19:31","1H-19:31",0,"0:00"
"796","5732557","North Carolina","Louisville",2,"0-2","2-2","1H-19:08","1H-19:08",0,"0:00"
"797","5732557","Louisville","North Carolina",2,"12-12","14-12","1H-11:23","1H-11:23",0,"0:00"
"798","5732557","North Carolina","Louisville",2,"18-24","20-24","1H-07:10","1H-07:10",0,"0:00"
"799","5732557","Louisville","North Carolina",2,"24-20","26-20","1H-05:14","1H-05:14",0,"0:00"
"800","5732557","North Carolina","Louisville",2,"20-26","22-26","1H-04:52","1H-04:52",0,"0:00"
"801","5732557","North Carolina","Louisville",2,"27-33","29-33","1H-01:53","1H-01:53",0,"0:00"
"802","5732557","Louisville","North Carolina",2,"33-29","35-29","1H-01:18","1H-01:18",0,"0:00"
"803","5732557","North Carolina","Louisville",2,"29-35","31-35","1H-00:35","1H-00:35",0,"0:00"
"804","5732557","Louisville","North Carolina",2,"35-31","37-31","1H-00:08","1H-00:08",0,"0:00"
"805","5732557","North Carolina","Louisville",2,"31-37","33-37","2H-19:39","2H-19:39",0,"0:00"
"806","5732557","Louisville","North Carolina",2,"37-33","39-33","2H-19:21","2H-19:21",0,"0:00"
"807","5732557","North Carolina","Louisville",2,"33-39","35-39","2H-19:08","2H-19:08",0,"0:00"
"808","5732557","Louisville","North Carolina",2,"51-44","53-44","2H-14:42","2H-14:42",0,"0:00"
"809","5732557","North Carolina","Louisville",2,"44-53","46-53","2H-14:20","2H-14:20",0,"0:00"
"810","5732557","Louisville","North Carolina",2,"53-46","55-46","2H-14:03","2H-14:03",0,"0:00"
"811","5732557","North Carolina","Louisville",2,"46-55","48-55","2H-13:52","2H-13:52",0,"0:00"
"812","5732557","Louisville","North Carolina",2,"55-48","57-48","2H-13:09","2H-13:09",0,"0:00"
"813","5732557","North Carolina","Louisville",2,"48-57","50-57","2H-12:53","2H-12:53",0,"0:00"
"814","5732557","Louisville","North Carolina",2,"57-50","59-50","2H-12:30","2H-12:30",0,"0:00"
"815","5732557","Louisville","North Carolina",2,"59-58","61-58","2H-08:59","2H-08:59",0,"0:00"
"816","5732557","North Carolina","Louisville",2,"61-64","63-64","2H-07:38","2H-07:38",0,"0:00"
