Rk,Player,PTS,Date▲,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Class
18,RJ Davis,0,2/6/21,North Carolina,@,Duke,W 91-87,,15,0,5,0,0,2,0,0,3,0,0,0,,0,0,2,2,2,0,0,0,0,0,-1.5,-13.3,G,FR
19,RJ Davis,6,2/13/21,North Carolina,@,Virginia,L 48-60,,24,3,8,0.375,3,6,0.5,0,2,0,0,0,,0.375,1,0,1,0,2,0,2,2,6,1.5,-0.6,G,FR
20,RJ Davis,4,2/17/21,North Carolina,,Northeastern,W 82-62,,16,0,4,0,0,3,0,0,1,0,4,4,1,0.339,1,1,2,3,1,0,0,2,4,4.5,3.5,G,FR
21,RJ Davis,6,2/20/21,North Carolina,,Louisville,W 99-54,,18,2,5,0.4,0,1,0,2,4,0.5,0,0,,0.6,0,0,0,3,0,0,1,1,6,4,2.1,G,FR
22,RJ Davis,11,2/24/21,North Carolina,,Marquette,L 70-83,,18,4,10,0.4,2,6,0.333,2,4,0.5,1,2,0.5,0.502,0,2,2,1,1,0,4,3,11,2.3,-2.7,G,FR
23,RJ Davis,12,2/27/21,North Carolina,,Florida State,W 78-70,,23,3,11,0.273,1,4,0.25,2,7,0.286,4,4,1,0.465,0,3,3,1,1,0,5,1,12,2.7,-2.9,G,FR
24,RJ Davis,9,3/1/21,North Carolina,@,Syracuse,L 70-72,,23,3,9,0.333,2,6,0.333,1,3,0.333,2,2,1,0.452,0,1,1,3,1,0,4,1,9,2.9,1.9,G,FR
25,RJ Davis,5,3/6/21,North Carolina,,Duke,W 91-73,,17,1,3,0.333,1,3,0.333,0,0,,3,4,0.75,0.51,0,2,2,0,0,0,2,2,5,0.7,-6.7,G,FR
26,RJ Davis,14,3/10/21,North Carolina,N,Notre Dame,W 101-59,,19,5,9,0.556,3,4,0.75,2,5,0.4,2,2,1,0.704,0,2,2,0,3,0,0,0,14,13.3,21.6,G,FR
27,RJ Davis,19,3/11/21,North Carolina,N,Virginia Tech,W 81-73,,25,6,10,0.6,2,3,0.667,4,7,0.571,3,3,1,0.832,0,4,4,1,1,0,2,1,19,14.9,18.4,G,FR
28,RJ Davis,7,3/12/21,North Carolina,N,Florida State,L 66-69,,24,2,10,0.2,2,7,0.286,0,3,0,3,3,1,0.306,0,1,1,2,1,0,2,2,7,0.7,-2.9,G,FR
29,RJ Davis,5,2021-03-19 NCAA,North Carolina,N,Wisconsin,L 62-85,,22,2,9,0.222,1,6,0.167,1,3,0.333,0,0,,0.278,1,3,4,2,0,1,0,2,5,2.4,1,G,FR
30,RJ Davis,6,11/9/21,North Carolina,,Loyola (MD),W 83-67,*,23,2,5,0.4,1,3,0.333,1,2,0.5,1,1,1,0.548,0,5,5,5,1,0,2,4,6,5.7,2,G,SO
31,RJ Davis,26,11/12/21,North Carolina,,Brown,W 94-87,*,36,9,17,0.529,3,8,0.375,6,9,0.667,2,2,1,0.724,0,2,2,6,0,0,1,2,26,20.7,11,G,SO
32,RJ Davis,6,11/16/21,North Carolina,@,College of Charleston,W 94-83,*,21,2,3,0.667,2,2,1,0,1,0,2,3,0.667,0.678,1,1,2,4,1,0,2,3,6,5.9,2.3,G,SO
33,RJ Davis,18,11/20/21,North Carolina,N,Purdue,L 84-93,*,35,6,12,0.5,4,7,0.571,2,5,0.4,4,4,1,0.647,0,7,7,4,0,0,1,2,18,15.1,8,G,SO
34,RJ Davis,14,11/21/21,North Carolina,N,Tennessee,L 72-89,*,35,3,11,0.273,1,8,0.125,2,3,0.667,6,7,0.857,0.489,0,4,4,4,1,0,4,2,14,7.3,1.2,G,SO
35,RJ Davis,12,11/23/21,North Carolina,,UNC Asheville,W 72-53,*,29,5,11,0.455,3,5,0.6,2,6,0.333,0,0,,0.545,0,5,5,1,2,0,4,3,12,5.3,-0.9,G,SO
36,RJ Davis,9,12/1/21,North Carolina,,Michigan,W 72-51,*,28,4,11,0.364,3,8,0.375,1,3,0.333,0,0,,0.409,0,2,2,1,1,0,1,1,9,3.8,-0.7,G,SO
37,RJ Davis,23,12/5/21,North Carolina,@,Georgia Tech,W 79-62,*,35,8,11,0.727,4,5,0.8,4,6,0.667,3,3,1,0.926,0,5,5,5,1,0,3,3,23,20.3,14.6,G,SO
38,RJ Davis,11,12/11/21,North Carolina,,Elon,W 80-63,*,30,4,10,0.4,3,6,0.5,1,4,0.25,2,3,0.667,0.481,0,5,5,0,2,0,3,2,11,4.9,-2.6,G,SO
39,RJ Davis,6,12/14/21,North Carolina,,Furman,W 74-61,*,36,2,8,0.25,2,5,0.4,0,3,0,2,5,0.4,0.289,0,3,3,7,0,0,1,1,6,4.4,-2,G,SO
40,RJ Davis,10,12/18/21,North Carolina,N,Kentucky,L 69-98,*,29,3,8,0.375,3,5,0.6,0,3,0,4,6,0.667,0.461,0,1,1,3,1,0,2,1,10,5.8,-0.4,G,SO
41,RJ Davis,15,12/21/21,North Carolina,,Appalachian State,W 70-50,*,34,7,10,0.7,6,9,0.667,1,1,1,0,0,,0.75,0,3,3,2,2,0,1,1,15,13.7,12.8,G,SO
42,RJ Davis,17,1/2/22,North Carolina,@,Boston College,W 91-65,*,28,5,5,1,3,3,1,2,2,1,5,5,1,1.153,0,3,3,3,0,0,2,2,17,15.7,13.9,G,SO
43,RJ Davis,19,1/5/22,North Carolina,@,Notre Dame,L 73-78,*,39,6,12,0.5,3,5,0.6,3,7,0.429,4,4,1,0.683,0,3,3,5,1,0,2,2,19,15.6,10.5,G,SO
44,RJ Davis,2,1/8/22,North Carolina,,Virginia,W 74-58,*,38,0,10,0,0,5,0,0,5,0,2,2,1,0.091,0,5,5,4,1,1,0,2,2,0.2,-9.1,G,SO
45,RJ Davis,21,1/15/22,North Carolina,,Georgia Tech,W 88-65,*,30,8,11,0.727,4,5,0.8,4,6,0.667,1,2,0.5,0.879,2,3,5,6,1,0,2,1,21,21.2,22.8,G,SO
46,RJ Davis,9,1/18/22,North Carolina,@,Miami (FL),L 57-85,*,30,3,10,0.3,3,7,0.429,0,3,0,3,3,1,0.394,1,4,5,0,0,1,4,1,9,1.4,-7.1,G,SO
47,RJ Davis,18,1/22/22,North Carolina,@,Wake Forest,L 76-98,*,31,6,12,0.5,4,8,0.5,2,4,0.5,4,5,0.8,0.626,2,3,5,3,0,0,2,3,18,12.8,8.8,G,SO
48,RJ Davis,15,1/24/22,North Carolina,,Virginia Tech,W 78-68,*,38,3,9,0.333,2,5,0.4,1,4,0.25,8,9,0.889,0.565,0,3,3,2,1,1,1,3,15,11.3,5.4,G,SO
49,RJ Davis,13,1/26/22,North Carolina,,Boston College,W 58-47,*,35,4,9,0.444,3,4,0.75,1,5,0.2,4,4,1,0.596,0,7,7,0,0,0,3,3,13,6.2,1.7,G,SO
50,RJ Davis,17,1/29/22,North Carolina,,NC State,W 100-80,*,28,6,8,0.75,3,4,0.75,3,4,0.75,2,4,0.5,0.859,1,2,3,4,1,0,1,1,17,16.7,12.9,G,SO
51,RJ Davis,18,2/1/22,North Carolina,@,Louisville,W 90-83 (OT),*,43,6,15,0.4,2,7,0.286,4,8,0.5,2,2,1,0.564,0,4,4,5,1,1,2,4,18,12.7,4,G,SO
52,RJ Davis,11,2/5/22,North Carolina,,Duke,L 67-87,*,32,4,11,0.364,4,8,0.5,0,3,0,3,4,0.75,0.426,1,1,2,2,2,0,1,2,11,7.1,0.8,G,SO
53,RJ Davis,16,2/8/22,North Carolina,@,Clemson,W 79-77,*,37,6,11,0.545,3,7,0.429,3,4,0.75,1,2,0.5,0.669,0,3,3,6,0,0,0,2,16,14.6,10.5,G,SO
54,RJ Davis,16,2/12/22,North Carolina,,Florida State,W 94-74,*,28,7,13,0.538,5,7,0.714,2,6,0.333,0,1,0,0.594,0,4,4,5,1,2,1,3,16,14.2,10.5,G,SO
55,RJ Davis,3,2/16/22,North Carolina,,Pittsburgh,L 67-76,*,35,1,6,0.167,1,4,0.25,0,2,0,1,2,0.5,0.216,0,1,1,2,4,0,2,3,3,1.3,-6.2,G,SO
56,RJ Davis,10,2/19/22,North Carolina,@,Virginia Tech,W 65-57,*,31,4,10,0.4,2,4,0.5,2,6,0.333,0,0,,0.5,1,5,6,2,1,0,2,1,10,6.8,5.2,G,SO
57,RJ Davis,16,2/21/22,North Carolina,,Louisville,W 70-63,*,36,5,11,0.455,3,6,0.5,2,5,0.4,4,4,1,0.62,0,1,1,2,3,0,0,4,16,13.4,9.4,G,SO
58,RJ Davis,6,2/26/22,North Carolina,@,NC State,W 84-74,*,38,3,8,0.375,3,5,0.6,0,3,0,0,0,,0.375,0,3,3,3,1,0,1,2,6,3.8,-1.5,G,SO
59,RJ Davis,17,2/28/22,North Carolina,,Syracuse,W 88-79 (OT),*,42,6,13,0.462,1,2,0.5,5,11,0.455,0,0,,0.654,0,2,2,5,1,0,4,1,17,11,4.6,G,SO
60,RJ Davis,21,3/5/22,North Carolina,@,Duke,W 94-81,*,40,9,16,0.563,7,12,0.583,2,4,0.5,1,2,0.5,0.619,1,4,5,4,2,1,2,2,21,17.6,10.1,G,SO
