"","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"49","ColgateMichigan St.11-3",2025-11-03,"nc","Colgate","Michigan St.","Pat","B10","A","L","69-80",0.360992255867608,0.963497051929661,0.789142831518436,0.124182003152408,-0.124182003152408,84.7,"played",NA,NA,NA,11,"Q1"
"50","ColgateMichigan St.11-3",2025-11-03,"nc","Michigan St.","Colgate","B10","Pat","H","W","80-69",0.963497051929661,0.360992255867608,0.87694452176131,0.926550367090554,0.0734496329094464,73,"played",NA,NA,NA,197,"Q4"
"51","Coppin St.Maryland11-3",2025-11-03,"nc","Coppin St.","Maryland","MEAC","B10","N","L","61-83",0.0359243715115154,0.65061334388099,0.837778001870703,0.734982548598121,-0.734982548598121,7,"played",NA,NA,NA,147,"Q3"
"52","Coppin St.Maryland11-3",2025-11-03,"nc","Maryland","Coppin St.","B10","MEAC","N","W","83-61",0.65061334388099,0.0359243715115154,0.837778001870703,0.992836314316839,0.00716368568316106,48.1,"played",NA,NA,NA,364,"Q4"
"53","DelawareBucknell11-3",2025-11-03,"nc","Bucknell","Delaware","Pat","CUSA","H","W","78-70",0.217232586329846,0.177418337374643,0.87694452176131,0.970623561393219,0.0293764386067807,47.6,"played",NA,NA,NA,299,"Q4"
"54","DelawareBucknell11-3",2025-11-03,"nc","Delaware","Bucknell","CUSA","Pat","A","L","70-78",0.177418337374643,0.217232586329846,0.789142831518436,0.930966625731878,-0.930966625731878,6.2,"played",NA,NA,NA,335,"Q4"
"55","DenverSeattle11-3",2025-11-03,"nc","Denver","Seattle","Sum","WCC","A","L","73-84",0.263732488304455,0.744692491785556,0.789142831518436,0.561995268527384,-0.561995268527384,38.2,"played",NA,NA,NA,113,"Q2"
"56","DenverSeattle11-3",2025-11-03,"nc","Seattle","Denver","WCC","Sum","H","W","84-73",0.744692491785556,0.263732488304455,0.87694452176131,0.952141579721307,0.047858420278693,62.9,"played",NA,NA,NA,251,"Q4"
"57","Detroit MercyIllinois Chicago11-3",2025-11-03,"nc","Detroit Mercy","Illinois Chicago","Horz","MVC","A","L","71-91",0.267782602229974,0.657175144196501,0.789142831518436,0.661287154070361,-0.661287154070361,24,"played",NA,NA,NA,157,"Q3"
"58","Detroit MercyIllinois Chicago11-3",2025-11-03,"nc","Illinois Chicago","Detroit Mercy","MVC","Horz","H","W","91-71",0.657175144196501,0.267782602229974,0.87694452176131,0.951186833928867,0.0488131660711331,68.9,"played",NA,NA,NA,273,"Q4"
"59","DrakeNorthern Arizona11-3",2025-11-03,"nc","Drake","Northern Arizona","MVC","BSky","N","W","77-71",0.453652543969598,0.1882243157174,0.837778001870703,0.957031829340188,0.0429681706598124,26.9,"played",NA,NA,NA,317,"Q4"
"60","DrakeNorthern Arizona11-3",2025-11-03,"nc","Northern Arizona","Drake","BSky","MVC","N","L","71-77",0.1882243157174,0.453652543969598,0.837778001870703,0.86148881014107,-0.86148881014107,34.4,"played",NA,NA,NA,163,"Q3"
"61","Eastern WashingtonUCLA11-3",2025-11-03,"nc","Eastern Washington","UCLA","BSky","B10","A","L","74-80",0.308501849237096,0.883526147717424,0.789142831518436,0.330375387946625,-0.330375387946625,66.4,"played",NA,NA,NA,40,"Q1"
"62","Eastern WashingtonUCLA11-3",2025-11-03,"nc","UCLA","Eastern Washington","B10","BSky","H","W","80-74",0.883526147717424,0.308501849237096,0.87694452176131,0.941085184986408,0.0589148150135917,63.2,"played",NA,NA,NA,254,"Q4"
"63","FairfieldPenn St.11-3",2025-11-03,"nc","Fairfield","Penn St.","MAAC","B10","A","L","68-76",0.224124805618187,0.644112883934384,0.789142831518436,0.674038059517895,-0.674038059517895,53.4,"played",NA,NA,NA,130,"Q2"
"64","FairfieldPenn St.11-3",2025-11-03,"nc","Penn St.","Fairfield","B10","MAAC","H","W","76-68",0.644112883934384,0.224124805618187,0.87694452176131,0.961044361509783,0.0389556384902165,31.3,"played",NA,NA,NA,249,"Q4"
"65","Fairleigh DickinsonIowa St.11-3",2025-11-03,"nc","Fairleigh Dickinson","Iowa St.","NEC","B12","A","L","50-88",0.12238388881334,0.963266645949521,0.789142831518436,0.124894099170074,-0.124894099170074,7.5,"played",NA,NA,NA,6,"Q1"
"66","Fairleigh DickinsonIowa St.11-3",2025-11-03,"nc","Iowa St.","Fairleigh Dickinson","B12","NEC","H","W","88-50",0.963266645949521,0.12238388881334,0.87694452176131,0.980807468633121,0.0191925313668788,97.8,"played",NA,NA,NA,328,"Q4"
"67","Florida A&MSouth Florida11-3",2025-11-03,"nc","Florida A&M","South Florida","SWAC","Amer","A","L","67-102",0.192985813089329,0.826057429123299,0.789142831518436,0.440736696731415,-0.440736696731415,13.2,"played",NA,NA,NA,67,"Q1"
"68","Florida A&MSouth Florida11-3",2025-11-03,"nc","South Florida","Florida A&M","Amer","SWAC","H","W","102-67",0.826057429123299,0.192985813089329,0.87694452176131,0.967533240623259,0.0324667593767411,88.2,"played",NA,NA,NA,307,"Q4"
"69","FurmanHigh Point11-3",2025-11-03,"nc","Furman","High Point","SC","BSth","N","L","71-97",0.486044256903575,0.686163372958262,0.837778001870703,0.702565415295553,-0.702565415295553,7.9,"played",NA,NA,NA,85,"Q2"
"70","FurmanHigh Point11-3",2025-11-03,"nc","High Point","Furman","BSth","SC","N","W","97-71",0.686163372958262,0.486044256903575,0.837778001870703,0.845224274729478,0.154775725270522,96,"played",NA,NA,NA,173,"Q3"
"71","Gardner WebbMinnesota11-3",2025-11-03,"nc","Gardner Webb","Minnesota","BSth","B10","A","L","60-87",0.0341790381857928,0.839700789697098,0.789142831518436,0.416723810046582,-0.416723810046582,2.5,"played",NA,NA,NA,82,"Q2"
"72","Gardner WebbMinnesota11-3",2025-11-03,"nc","Minnesota","Gardner Webb","B10","BSth","H","W","87-60",0.839700789697098,0.0341790381857928,0.87694452176131,0.995058705402443,0.00494129459755666,88,"played",NA,NA,NA,363,"Q4"
"73","Georgia St.Eastern Michigan11-3",2025-11-03,"nc","Eastern Michigan","Georgia St.","MAC","SB","H","W","71-49",0.535265786870289,0.212234733054134,0.87694452176131,0.963572217605899,0.0364277823941006,86.8,"played",NA,NA,NA,260,"Q4"
"74","Georgia St.Eastern Michigan11-3",2025-11-03,"nc","Georgia St.","Eastern Michigan","SB","MAC","A","L","49-71",0.212234733054134,0.535265786870289,0.789142831518436,0.764672340718341,-0.764672340718341,4.5,"played",NA,NA,NA,179,"Q3"
"75","Green BayKansas11-3",2025-11-03,"nc","Green Bay","Kansas","Horz","B12","A","L","51-94",0.347501300824496,0.958297450013108,0.789142831518436,0.140055438856547,-0.140055438856547,7,"played",NA,NA,NA,18,"Q1"
"76","Green BayKansas11-3",2025-11-03,"nc","Kansas","Green Bay","B12","Horz","H","W","94-51",0.958297450013108,0.347501300824496,0.87694452176131,0.930464672226174,0.0695353277738255,99.4,"played",NA,NA,NA,231,"Q4"
"77","HamptonMilwaukee11-3",2025-11-03,"nc","Hampton","Milwaukee","CAA","Horz","A","L","86-90",0.225882232665229,0.386383173060306,0.789142831518436,0.855981558523647,-0.855981558523647,20,"played",NA,NA,NA,233,"Q3"
"78","HamptonMilwaukee11-3",2025-11-03,"nc","Milwaukee","Hampton","Horz","CAA","H","W","90-86",0.386383173060306,0.225882232665229,0.87694452176131,0.960665288581314,0.0393347114186862,42.4,"played",NA,NA,NA,238,"Q4"
"79","HofstraUCF11-3",2025-11-03,"nc","Hofstra","UCF","CAA","B12","A","L","78-82",0.551643183066637,0.866313539212039,0.789142831518436,0.366100316626515,-0.366100316626515,80.7,"played",NA,NA,NA,39,"Q1"
"80","HofstraUCF11-3",2025-11-03,"nc","UCF","Hofstra","B12","CAA","H","W","82-78",0.866313539212039,0.551643183066637,0.87694452176131,0.852770314172331,0.147229685827669,65.6,"played",NA,NA,NA,107,"Q3"
