"","Year","Pick","Player","Name","Team","Pos","College","school_logo","logo"
"30",2016,30,30,"Vernon Butler","Panthers","DT","Louisiana Tech","Louisiana Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png"
"31",2016,31,31,"Germain Ifedi","Seahawks","G","Texas A&M","Texas A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png"
"32",2017,1,1,"Myles Garrett","Browns","DE","Texas A&M","Texas A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png"
"33",2017,2,2,"Mitchell Trubisky","Bears","QB","North Carolina","North Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png"
"34",2017,3,3,"Solomon Thomas","49ers","DE","Stanford","Stanford","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png"
"35",2017,4,4,"Leonard Fournette","Jaguars","RB","Louisiana State","LSU","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png"
"36",2017,5,5,"Corey Davis","Titans","WR","Western Michigan","Western Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png"
"37",2017,6,6,"Jamal Adams","Jets","DB","Louisiana State","LSU","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png"
"38",2017,7,7,"Mike Williams","Chargers","WR","Clemson","Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"39",2017,8,8,"Christian McCaffrey","Panthers","RB","Stanford","Stanford","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png"
"40",2017,9,9,"John Ross","Bengals","WR","Washington","Washington","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png"
"41",2017,10,10,"Patrick Mahomes","Chiefs","QB","Texas Tech","Texas Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png"
"42",2017,11,11,"Marshon Lattimore","Saints","DB","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"43",2017,12,12,"Deshaun Watson","Texans","QB","Clemson","Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"44",2017,13,13,"Haason Reddick","Cardinals","LB","Temple","Temple","http://a.espncdn.com/i/teamlogos/ncaa/500/218.png"
"45",2017,14,14,"Derek Barnett","Eagles","DE","Tennessee","Tennessee","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png"
"46",2017,15,15,"Malik Hooker","Colts","DB","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"47",2017,16,16,"Marlon Humphrey","Ravens","DB","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"48",2017,17,17,"Jonathan Allen","Redskins","DE","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"49",2017,18,18,"Adoree' Jackson","Titans","DB","USC","USC","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png"
"50",2017,19,19,"O.J. Howard","Buccaneers","TE","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"51",2017,20,20,"Garett Bolles","Broncos","T","Utah","Utah","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png"
"52",2017,21,21,"Jarrad Davis","Lions","LB","Florida","Florida","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png"
"53",2017,22,22,"Charles Harris","Dolphins","LB","Missouri","Missouri","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png"
"54",2017,23,23,"Evan Engram","Giants","TE","Mississippi","Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"
"55",2017,24,24,"Gareon Conley","Raiders","DB","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"56",2017,25,25,"Jabrill Peppers","Browns","DB","Michigan","Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png"
"57",2017,26,26,"Takkarist McKinley","Falcons","DE","UCLA","UCLA","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png"
