Rk,Coach,Yrs,From▼,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
323,Sammy Baugh+,3,1960,1964,42,18,24,0,.429,-6,0,0,0,0,,3.0,2,0,0,0
324,Buster Ramsey,2,1960,1961,28,11,16,1,.407,-5,0,0,0,0,,3.5,3,0,0,0
325,Lou Rymkus,2,1960,1961,19,11,7,1,.611,4,1,1,1,0,1.000,1.0,1,1,0,0
326,Bob Waterfield+,3,1960,1962,34,9,24,1,.273,-15,0,0,0,0,,6.3,6,0,0,0
327,Frank Filchock,2,1960,1961,28,7,20,1,.259,-13,0,0,0,0,,3.5,3,0,0,0
328,Eddie Erdelatz,2,1960,1961,16,6,10,0,.375,-4,0,0,0,0,,3.5,3,0,0,0
329,Vince Lombardi+,10,1959,1969,136,96,34,6,.738,62,6,10,9,1,.900,1.5,1,5,2,2
330,Red Hickey,5,1959,1963,55,27,27,1,.500,0,0,0,0,0,,4.4,2,0,0,0
331,Mike Nixon,3,1959,1965,38,6,30,2,.167,-24,0,0,0,0,,6.0,5,0,0,0
332,Pop Ivy,6,1958,1963,76,32,42,2,.432,-10,1,1,0,1,.000,3.8,1,0,0,0
333,George Wilson,12,1957,1969,160,68,84,8,.447,-16,1,2,2,0,1.000,3.3,1,1,0,0
334,Frankie Albert,3,1956,1958,36,19,16,1,.543,3,1,1,0,1,.000,2.7,1,0,0,0
335,Sid Gillman+,18,1955,1974,228,122,99,7,.552,23,6,6,1,5,.167,2.6,1,1,0,0
336,Ray Richards,3,1955,1957,36,14,21,1,.400,-7,0,0,0,0,,4.0,2,0,0,0
337,Weeb Ewbank+,20,1954,1973,266,130,129,7,.502,1,4,5,4,1,.800,3.0,1,3,1,1
338,Jim Lee Howell,7,1954,1960,84,53,27,4,.663,26,3,4,2,2,.500,2.0,1,1,,
339,Lisle Blackbourn,4,1954,1957,48,17,31,0,.354,-14,0,0,0,0,,4.8,3,0,0,0
340,Hugh Devore,3,1953,1957,26,7,18,1,.280,-11,0,0,0,0,,5.7,5,0,0,0
341,Keith Molesworth,1,1953,1953,12,3,9,0,.250,-6,0,0,0,0,,5.0,5,0,0,0
342,Ray McLean,2,1953,1958,14,1,12,1,.077,-11,0,0,0,0,,6.0,6,0,0,0
343,Joe Kuharich,11,1952,1968,142,58,81,3,.417,-23,0,0,0,0,,3.5,2,0,0,0
344,Jim Trimble,4,1952,1955,48,25,20,3,.556,5,0,0,0,0,,2.5,2,0,0,0
345,Dick Todd,1,1951,1951,9,5,4,0,.556,1,0,0,0,0,,3.0,3,0,0,0
346,Wayne Millner+,1,1951,1951,10,2,8,0,.200,-6,0,0,0,0,,5.0,5,0,0,0
347,Joe Stydahar+,5,1950,1954,49,20,28,1,.417,-8,2,3,2,1,.667,3.2,1,1,0,0
348,Gene Ronzani,4,1950,1953,46,14,31,1,.311,-17,0,0,0,0,,5.0,4,0,0,0
349,Buddy Parker,15,1949,1964,188,104,75,9,.581,29,3,4,3,1,.750,3.2,1,2,0,0
350,Clem Crowe,2,1949,1950,18,5,12,1,.294,-7,1,1,0,1,.000,5.5,4,0,0,0
351,Herman Ball,3,1949,1951,20,4,16,0,.200,-12,0,0,0,0,,4.3,3,0,0,0
352,John Whelchel,1,1949,1949,7,3,3,1,.500,0,0,0,0,0,,4.0,4,0,0,0
353,Walt Driskill,1,1949,1949,8,1,7,0,.125,-6,0,0,0,0,,7.0,7,0,0,0
354,Charley Ewart,1,1949,1949,12,1,10,1,.091,-9,0,0,0,0,,5.0,5,0,0,0
355,Red Strader,4,1948,1955,46,24,22,0,.522,2,1,1,0,1,.000,3.5,3,0,0,0
356,John Michelosen,4,1948,1951,48,20,26,2,.435,-6,0,0,0,0,,3.0,2,0,0,0
357,Bo McMillin,4,1948,1951,38,14,24,0,.368,-10,0,0,0,0,,4.5,4,0,0,0
358,Clark Shaughnessy,2,1948,1949,24,14,7,3,.667,7,1,1,0,1,.000,2.0,1,0,0,0
359,Jimmy Phelan,4,1948,1952,50,13,35,2,.271,-22,0,0,0,0,,5.0,3,0,0,0
360,Carl Voyles,1,1948,1948,14,2,12,0,.143,-10,0,0,0,0,,4.0,4,0,0,0
361,Ed McKeever,1,1948,1948,14,1,13,0,.071,-12,0,0,0,0,,4.0,4,0,0,0
362,Cecil Isbell,4,1947,1951,34,10,23,1,.303,-13,1,1,0,1,.000,4.5,1,0,0,0
363,Clipper Smith,2,1947,1948,24,7,16,1,.304,-9,0,0,0,0,,4.0,3,0,0,0
364,Bob Snyder,1,1947,1947,12,6,6,0,.500,0,0,0,0,0,,4.0,4,0,0,0
365,Mel Hein+,1,1947,1947,3,2,1,0,.667,1,0,0,0,0,,3.0,3,0,0,0
366,Ted Shipkey,1,1947,1947,3,2,1,0,.667,1,0,0,0,0,,3.0,3,0,0,0
367,Jim Crowley,1,1947,1947,10,0,10,0,.000,-10,0,0,0,0,,4.0,4,0,0,0
368,Paul Brown+,25,1946,1975,326,213,104,9,.672,109,15,17,9,8,.529,2.0,1,7,0,0
369,Buck Shaw,12,1946,1960,150,90,55,5,.621,35,2,3,2,1,.667,2.6,1,1,0,0
370,Hampton Pool,5,1946,1954,47,26,19,2,.578,7,1,1,0,1,.000,3.4,2,0,0,0
371,Red Dawson,4,1946,1949,48,19,25,4,.432,-6,1,2,1,1,.500,2.3,1,0,0,0
372,Turk Edwards+,3,1946,1948,35,16,18,1,.471,-2,0,0,0,0,,3.0,2,0,0,0
373,Cliff Battles+,2,1946,1947,21,4,16,1,.200,-12,0,0,0,0,,2.5,2,0,0,0
374,Pat Boland,1,1946,1946,6,2,3,1,.400,-1,0,0,0,0,,4.0,4,0,0,0
375,Bob Dove,1,1946,1946,5,2,2,1,.500,0,0,0,0,0,,4.0,4,0,0,0
376,Ned Mathews,1,1946,1946,5,2,2,1,.500,0,0,0,0,0,,4.0,4,0,0,0
377,Willie Wilkin,1,1946,1946,5,2,2,1,.500,0,0,0,0,0,,4.0,4,0,0,0
378,Dick Hanley,1,1946,1946,3,1,1,1,.500,0,0,0,0,0,,4.0,4,0,0,0
379,Jack Meagher,1,1946,1946,6,1,5,0,.167,-4,0,0,0,0,,4.0,4,0,0,0
380,Tom Scott,1,1946,1946,1,1,0,0,1.000,1,0,0,0,0,,2.0,2,0,0,0
381,Mal Stevens,1,1946,1946,7,1,4,1,.200,-3,0,0,0,0,,2.0,2,0,0,0
382,Adam Walsh,2,1945,1946,21,15,5,1,.750,10,1,1,1,0,1.000,1.5,1,1,0,0
383,Jim Leonard,1,1945,1945,10,2,8,0,.200,-6,0,0,0,0,,5.0,5,0,0,0
384,Dudley DeGroot,4,1944,1947,45,26,16,3,.619,10,1,1,0,1,.000,2.5,1,0,0,0
385,Herb Kopf,3,1944,1946,31,7,22,2,.241,-15,0,0,0,0,,4.0,3,0,0,0
386,Frank Bridges,1,1944,1944,5,0,5,0,.000,-5,0,0,0,0,,5.0,5,0,0,0
387,Ed Kubale,1,1944,1944,5,0,5,0,.000,-5,0,0,0,0,,5.0,5,0,0,0
388,Gus Dorais,5,1943,1947,53,20,31,2,.392,-11,0,0,0,0,,3.4,2,0,0,0
389,Dutch Bergman,1,1943,1943,10,6,3,1,.667,3,1,2,1,1,.500,1.0,1,0,0,0
390,Phil Handler,5,1943,1951,38,4,34,0,.105,-30,0,0,0,0,,4.6,3,0,0,0
391,Pete Cawthon,2,1943,1944,15,2,13,0,.133,-11,0,0,0,0,,5.0,5,0,0,0
392,Hunk Anderson,4,1942,1945,36,23,11,2,.676,12,2,2,1,1,.500,2.0,1,1,0,0
393,Luke Johnsos,4,1942,1945,36,23,11,2,.676,12,2,2,1,1,.500,2.0,1,1,0,0
394,Mike Getto,1,1942,1942,11,3,8,0,.273,-5,0,0,0,0,,4.0,4,0,0,0
395,Bull Karcis,1,1942,1942,8,0,8,0,.000,-8,0,0,0,0,,5.0,5,0,0,0
396,Greasy Neale+,10,1941,1950,111,63,43,5,.594,20,3,4,3,1,.750,2.4,1,2,0,0
397,Aldo Donelli,2,1941,1944,15,4,11,0,.267,-7,0,0,0,0,,4.5,4,0,0,0
398,Bill Edwards,2,1941,1942,14,4,9,1,.308,-5,0,0,0,0,,4.0,3,0,0,0
399,Jock Sutherland,4,1940,1947,45,28,16,1,.636,12,1,1,0,1,.000,2.0,1,0,0,0
400,Walt Kiesling+,9,1939,1956,90,30,55,5,.353,-25,0,0,0,0,,4.1,2,0,0,0
401,Gus Henderson,1,1939,1939,11,6,5,0,.545,1,0,0,0,0,,3.0,3,0,0,0
402,Art Lewis,1,1938,1938,8,4,4,0,.500,0,0,0,0,0,,4.0,4,0,0,0
403,Dutch Clark+,6,1937,1942,66,30,34,2,.469,-4,0,0,0,0,,3.3,2,0,0,0
404,Johnny Blood+,3,1937,1939,25,6,19,0,.240,-13,0,0,0,0,,4.0,3,0,0,0
405,Hugo Bezdek,2,1937,1938,14,1,13,0,.071,-12,0,0,0,0,,4.5,4,0,0,0
406,Ray Flaherty+,11,1936,1949,122,80,37,5,.684,43,6,6,2,4,.333,1.9,1,2,0,0
407,Bert Bell+,6,1936,1941,58,10,46,2,.179,-36,0,0,0,0,,4.7,4,0,0,0
408,Joe Bach,4,1935,1953,48,21,27,0,.438,-6,0,0,0,0,,3.3,2,0,0,0
409,Milan Creighton,4,1935,1938,46,16,26,4,.381,-10,0,0,0,0,,4.0,3,0,0,0
410,Eddie Casey,1,1935,1935,11,2,8,1,.200,-6,0,0,0,0,,4.0,4,0,0,0
411,Luby DiMeolo,1,1934,1934,12,2,10,0,.167,-8,0,0,0,0,,5.0,5,0,0,0
412,Chile Walsh,1,1934,1934,3,1,2,0,.333,-1,0,0,0,0,,5.0,5,0,0,0
413,Algy Clark,1,1934,1934,8,0,8,0,.000,-8,0,0,0,0,,6.0,6,0,0,0
