"","team","conf.x","net","prev_net","sos","non_conf_sos","wab","non_conf_wab","wins","losses","wins_non_conf","losses_non_conf","road_wins","road_losses","q1_win","q1_loss","q2_win","q2_loss","q3_win","q3_loss","q4_win","q4_loss","date","net_percentile","conf.y","total","non_con","league","home","away","neutral","quad_1","quad_2","quad_3","quad_4"
"159","Fairfield","Metro Atlantic",327,327,350,319,-17.82,-5.84,11,20,3,7,3,12,0,0,0,2,0,4,11,14,2025-03-14,0.101928374655647,"Metro Atlantic",-16.91,-5.55,-10.44,-5.51,-9.9,-1.5,0,-1.26,-2.4,-13.25
"160","Fairleigh Dickinson","Northeast",304,303,284,129,-16.8,-8.4,10,20,1,11,4,15,0,3,0,1,0,6,10,10,2025-03-14,0.165289256198347,"Northeast",-15.74,-7.73,-7.22,-4.74,-11,0,-1.1,-0.56,-4.87,-9.21
"161","Florida A&M","SWAC",322,322,115,1,-11.56,-3.06,12,17,1,8,4,13,0,6,0,1,0,1,12,9,2025-03-14,0.115702479338843,"SWAC",-10.71,-2.78,-7.02,-2.76,-7.04,-0.91,-1.42,-0.5,-0.83,-7.96
"162","Florida Atlantic","American",112,106,113,104,-8.88,-3.15,17,15,6,6,6,7,0,4,2,4,3,5,12,2,2025-03-14,0.694214876033058,"American",-7.79,-2.73,-4.3,-3.76,-2.63,-1.4,-1.53,-1.95,-3.44,-0.87
"163","FIU","CUSA",260,260,228,361,-19.08,-6.33,8,23,4,7,1,13,0,1,0,4,3,15,5,3,2025-03-14,0.286501377410468,"CUSA",-17.37,-5.88,-10.82,-6.65,-9.23,-1.49,-0.4,-2.76,-11.63,-2.58
"164","Florida St.","ACC",90,90,84,267,-6.33,-0.34,17,15,9,2,2,9,1,6,2,6,6,2,8,1,2025-03-14,0.754820936639118,"ACC",-5.13,-0.0800000000000001,-4.28,-1.43,-3.47,-0.23,-1.15,-3.01,-0.56,-0.41
"165","Florida","SEC",4,4,28,263,9.42,2,28,4,13,0,7,3,9,4,9,0,4,0,6,0,2025-03-14,0.991735537190083,"SEC",9.47,2.35,6.42,3.21,3.99,2.27,5.03,3.59,0.64,0.21
"166","Fordham","Atlantic 10",238,238,125,226,-15.22,-3,11,21,7,5,2,10,0,3,0,6,6,8,5,4,2025-03-14,0.347107438016529,"Atlantic 10",-13.97,-2.76,-10.57,-6.6,-5.67,-1.7,-0.94,-3.17,-6.39,-3.47
"167","Furman","Southern",126,127,246,243,-5.24,0.59,22,9,9,1,9,5,0,1,3,1,7,6,12,1,2025-03-14,0.65564738292011,"Southern",-4.38,1,-4.91,-2.2,-1.88,-0.3,-0.2,0.18,-4.06,-0.3
"168","George Mason","Atlantic 10",73,74,119,186,-1.28,-1.76,24,7,8,4,7,6,1,3,4,0,8,3,11,1,2025-03-14,0.801652892561983,"Atlantic 10",-0.13,-1.57,1.22,0.17,-0.52,0.22,-0.1,1.13,-0.72,-0.44
"169","George Washington","Atlantic 10",123,119,218,362,-7.8,-1.32,20,12,10,2,5,6,0,1,2,6,5,4,13,1,2025-03-14,0.663911845730027,"Atlantic 10",-6.52,-0.94,-5.01,-2.35,-3.27,-0.9,-0.5,-2.53,-3.18,-0.31
"170","Georgetown","Big East",88,88,71,342,-5.36,-0.95,17,15,9,2,3,9,1,8,4,4,3,3,9,0,2025-03-14,0.760330578512397,"Big East",-4.62,-0.6,-3.25,-1.63,-2.22,-0.77,-2.58,-0.28,-1.97,0.21
"171","Georgia Southern","Sun Belt",255,255,274,194,-12.45,-2.83,16,16,7,5,4,11,0,2,0,3,1,6,15,5,2025-03-14,0.300275482093664,"Sun Belt",-11.3,-2.47,-7.95,-2.47,-7.08,-1.75,-0.66,-1.96,-4.74,-3.94
"172","Georgia St.","Sun Belt",265,264,174,90,-14.27,-5.02,13,19,4,8,3,11,0,3,0,3,1,7,12,6,2025-03-14,0.272727272727273,"Sun Belt",-13.23,-4.82,-7.62,-5.31,-6.26,-1.66,-0.54,-1.9,-5.71,-5.08
"173","Georgia Tech","ACC",108,107,70,202,-5.96,-3.03,17,16,6,5,2,9,3,7,0,7,5,1,9,1,2025-03-14,0.705234159779614,"ACC",-5.09,-2.97,-2.27,-1.33,-3.37,-0.39,-0.4,-4.17,0.11,-0.63
"174","Georgia","SEC",33,33,18,221,2.16,1.18,20,12,12,1,3,7,4,11,5,1,3,0,8,0,2025-03-14,0.911845730027548,"SEC",1.98,1.45,1.04,1.52,0.36,0.1,-0.17,1.33,0.56,0.26
"175","Gonzaga(AQ)","WCC",8,8,74,29,1.84,0.43,25,8,9,4,8,2,5,5,5,3,5,0,10,0,2025-03-14,0.980716253443526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Hampton","CAA",212,212,264,239,-12.56,-3.4,14,16,5,5,4,9,0,1,0,4,3,6,11,5,2025-03-14,0.418732782369146,"CAA",-11.46,-2.99,-7.81,-3.43,-6.43,-1.6,-0.49,-2.6,-4.27,-4.1
"177","Harvard","Ivy",256,257,224,276,-11.67,-6.26,11,15,4,8,5,10,0,2,1,2,2,5,8,6,2025-03-14,0.297520661157025,"Ivy",-10.75,-5.84,-4.91,-4.24,-6.51,0,-0.69,-1,-3.88,-5.18
"178","Hawaii","Big West",223,223,153,290,-11.44,-1.77,13,16,6,3,2,9,0,2,0,6,1,6,12,2,2025-03-14,0.388429752066116,"Big West",-10.97,-1.55,-9.42,-4.99,-5.98,0,-0.86,-4.03,-4.83,-1.25
"179","Hofstra","CAA",217,218,273,183,-14.56,-2.91,13,18,6,5,5,9,0,1,1,1,6,7,6,9,2025-03-14,0.40495867768595,"CAA",-13.4,-2.46,-10.04,-6.39,-5.64,-1.37,-0.05,-0.32,-4.85,-8.18
"180","Holy Cross","Patriot",310,310,331,232,-16.46,-3.2,11,19,6,5,4,13,0,1,0,1,2,4,9,13,2025-03-14,0.148760330578512,"Patriot",-15.46,-2.7,-11.85,-5.64,-9.92,0.1,-0.16,-0.6,-2.94,-11.76
"181","Houston Christian","Southland",287,287,178,35,-15.61,-5.08,10,20,1,8,4,12,0,4,0,1,1,6,9,9,2025-03-14,0.212121212121212,"Southland",-14.58,-4.93,-8.81,-6.19,-7.55,-0.84,-1.32,-0.74,-4.59,-7.93
"182","Houston","Big 12",3,3,25,74,9.92,-0.09,29,4,8,3,10,0,12,3,7,1,5,0,5,0,2025-03-14,0.994490358126722,"Big 12",10.82,0.00999999999999997,9.78,3.8,6.58,0.44,7.42,2.14,1.02,0.24
"183","Idaho St.","Big Sky",195,194,254,100,-11.77,-4.09,12,15,2,6,5,10,0,3,0,1,1,7,11,4,2025-03-14,0.465564738292011,"Big Sky",-10.44,-3.65,-5.91,-3.31,-6.25,-0.88,-1.08,-0.65,-5.64,-3.07
"184","Idaho","Big Sky",269,269,251,163,-15.28,-5.79,12,19,3,8,5,11,0,1,0,4,2,7,10,7,2025-03-14,0.261707988980716,"Big Sky",-13.95,-5.4,-7.86,-4.99,-7.3,-1.66,-0.17,-2.52,-5.46,-5.8
"185","Illinois St.","Missouri Valley",121,122,176,293,-9.28,-1.65,18,14,7,3,5,7,0,1,1,5,7,6,10,2,2025-03-14,0.669421487603306,"Missouri Valley",-8.15,-1.22,-6.22,-2.71,-3.59,-1.85,-0.4,-2.61,-3.94,-1.2
"186","Illinois Chicago","Missouri Valley",154,155,150,228,-9.35,-1.67,15,14,5,3,7,6,0,2,4,2,4,7,7,3,2025-03-14,0.578512396694215,"Missouri Valley",-8.33,-1.31,-6.11,-3.68,-2.1,-2.55,-0.78,-0.13,-5.25,-2.17
"187","New Hampshire","America East",355,355,318,284,-21.29,-11.19,6,24,0,13,2,15,0,2,0,0,0,8,6,14,2025-03-14,0.0247933884297521,"America East",-20.36,-10.75,-8.76,-6.57,-11.9,-1.89,-0.75,0,-7.59,-12.02
"188","NJIT","America East",351,351,338,322,-22.57,-10.38,5,25,2,12,1,16,0,1,0,2,0,8,5,14,2025-03-14,0.0358126721763086,"America East",-21.48,-9.71,-11.77,-8.63,-12.89,0.04,-0.37,-1.3,-7.53,-12.28
"189","New Mexico St.","CUSA",144,143,124,111,-9.73,-3.67,14,15,4,6,8,6,1,3,3,2,4,7,6,3,2025-03-14,0.606060606060606,"CUSA",-8.34,-3.34,-4.2,-4.78,-0.93,-2.63,-0.59,-0.33,-5.06,-2.36
"190","New Orleans","Southland",346,346,116,24,-21.19,-5.09,4,27,2,9,3,15,0,5,0,3,2,6,2,13,2025-03-14,0.0495867768595041,"Southland",-19.82,-4.58,-15.24,-10.15,-8.74,-0.93,-2.24,-1.28,-4.27,-12.03
"191","Niagara","Metro Atlantic",321,321,339,252,-17.57,-4.43,10,20,4,6,3,13,0,1,0,2,1,2,9,15,2025-03-14,0.118457300275482,"Metro Atlantic",-16.71,-4.06,-12.65,-6.65,-10.16,0.1,-0.16,-1.26,-0.64,-14.65
"192","Nicholls St.","Southland",171,172,170,36,-8.52,-2.41,17,13,3,5,8,8,0,4,1,0,2,7,14,2,2025-03-14,0.53168044077135,"Southland",-7.42,-2.14,-4.49,-3.16,-3.47,-0.79,-1.26,0.26,-5.46,-0.96
"193","Norfolk St.","MEAC",188,183,243,101,-6.32,-3.67,20,10,7,7,8,9,0,2,1,2,3,3,16,3,2025-03-14,0.484848484848485,"MEAC",-5.35,-3.07,-2.32,-0.7,-4.79,0.14,-0.38,-0.58,-2.12,-2.27
"194","North Carolina A&T","CAA",333,332,244,181,-21.22,-6.71,6,25,3,9,2,15,0,3,0,1,1,12,5,9,2025-03-14,0.0853994490358126,"CAA",-20.04,-6.19,-12.94,-8.33,-10.8,-0.91,-1.22,-0.65,-9.77,-8.4
"195","North Carolina Central","MEAC",319,315,319,242,-16.39,-7.94,10,19,3,10,2,13,0,2,0,1,1,4,9,12,2025-03-14,0.12396694214876,"MEAC",-15.33,-7.33,-7.16,-3.63,-10.03,-1.67,-0.79,-0.54,-2.24,-11.76
"196","North Dakota St.","Summit",136,135,280,259,-7.86,-2.14,18,11,8,4,8,6,1,0,2,2,3,6,12,3,2025-03-14,0.628099173553719,"Summit",-6.34,-1.59,-3.83,-3.14,-2.53,-0.67,0.64,-0.55,-4.49,-1.94
"197","North Dakota","Summit",274,275,186,135,-16.69,-6.43,9,21,3,9,2,12,0,2,0,4,5,7,4,8,2025-03-14,0.247933884297521,"Summit",-15.06,-5.91,-8.56,-4.43,-8.19,-2.44,-0.63,-3.24,-4.03,-7.16
"198","North Texas","American",59,60,141,119,-2.15,-0.72,22,7,7,3,7,5,0,3,4,2,9,1,9,1,2025-03-14,0.840220385674931,"American",-1.01,-0.51,-0.58,0.09,-0.89,-0.21,-1.38,-0.14,0.98,-0.47
"199","Louisiana Monroe","Sun Belt",349,350,311,339,-22.16,-7.92,5,25,2,9,2,12,0,0,1,3,2,8,2,14,2025-03-14,0.0413223140495868,"Sun Belt",-20.89,-7.36,-12.57,-10.15,-9.01,-1.73,0,-1.45,-6.32,-13.12
"200","Northeastern","CAA",208,208,320,338,-12.13,-3.71,17,15,8,5,7,8,0,1,0,1,5,7,12,6,2025-03-14,0.429752066115702,"CAA",-11.05,-3.26,-6.89,-4.37,-5.02,-1.66,-0.38,-0.64,-5.07,-4.96
"201","Northern Arizona","Big Sky",248,246,346,353,-12.83,-3.28,14,15,5,4,7,8,0,0,0,2,1,7,13,6,2025-03-14,0.319559228650138,"Big Sky",-11.43,-2.81,-7.87,-4.37,-5.37,-1.69,0,-1.15,-5.5,-4.78
"202","Northern Colorado","Big Sky",114,113,276,130,-5.57,-2.84,22,9,5,5,9,6,0,1,0,2,6,5,16,1,2025-03-14,0.68870523415978,"Big Sky",-4.04,-2.23,-1.17,-1.38,-2.21,-0.45,-0.13,-1.82,-2.13,0.04
"203","Northern Illinois","Mid-American",354,354,287,268,-22.06,-7.51,3,25,1,9,1,15,0,0,0,5,1,7,2,13,2025-03-14,0.0275482093663911,"Mid-American",-20.98,-7.11,-13.87,-9.35,-11.63,0,0,-3.17,-5.72,-12.09
"204","Northern Iowa","Missouri Valley",93,92,173,272,-7.42,-3.53,19,12,5,5,5,5,0,1,2,6,10,4,7,1,2025-03-14,0.746556473829201,"Missouri Valley",-6.5,-3.29,-2.3,-1.44,-2.17,-2.89,-0.4,-2.84,-2.76,-0.5
"205","Northern Kentucky","Horizon",229,229,237,97,-12.14,-3.82,15,16,3,6,5,10,0,1,0,4,4,7,11,4,2025-03-14,0.371900826446281,"Horizon",-11.17,-3.56,-6.84,-4.9,-6.27,0,-0.19,-2.59,-5.07,-3.32
"206","Northwestern St.","Southland",230,230,131,17,-10.72,-3.99,14,16,1,7,6,10,0,4,0,4,4,3,10,5,2025-03-14,0.369146005509642,"Southland",-9.61,-3.69,-5.48,-4.22,-4.95,-0.44,-1.27,-2.55,-1.62,-4.17
"207","Northwestern","Big Ten",53,53,45,302,-3.1,-0.58,17,16,9,2,2,9,3,12,6,3,3,1,5,0,2025-03-14,0.856749311294766,"Big Ten",-2.62,-0.2,-2.45,-0.46,-2.09,-0.07,-2.36,-0.2,-0.29,0.23
"208","Notre Dame","ACC",103,103,73,67,-8.15,-2.01,15,18,6,5,3,9,0,8,4,7,5,1,6,2,2025-03-14,0.71900826446281,"ACC",-6.97,-1.8,-5.07,-2.49,-3.22,-1.26,-2.45,-2.97,0.0699999999999999,-1.62
"209","Ohio St.","Big Ten",41,41,19,41,-0.92,0.46,17,15,8,3,4,7,6,11,3,4,2,0,6,0,2025-03-14,0.889807162534435,"Big Ten",-0.96,0.33,-0.67,-2,0.61,0.43,0.24,-1.84,0.37,0.27
"210","Ohio","Mid-American",179,181,291,291,-12.8,-5.37,15,16,5,7,3,10,0,1,0,3,5,6,10,6,2025-03-14,0.509641873278237,"Mid-American",-11.75,-5,-5.82,-2.18,-7.03,-2.54,-0.43,-1.96,-4.22,-5.14
"211","Oklahoma St.","Big 12",96,97,44,310,-4.44,-1.66,15,17,8,3,2,10,1,13,4,3,4,1,6,0,2025-03-14,0.738292011019284,"Big 12",-3.46,-1.3,-1.66,1.53,-2.62,-2.37,-3.73,0.15,-0.28,0.4
"212","Oklahoma","SEC",44,44,10,144,2.41,2.69,20,13,13,0,2,7,7,11,4,1,2,1,7,0,2025-03-14,0.881542699724518,"SEC",2.06,2.88,-1.11,-0.93,0.13,2.86,1.72,0.39,-0.19,0.14
"213","Old Dominion","Sun Belt",293,293,294,261,-16.66,-7.3,13,20,2,9,5,7,0,1,1,2,3,7,9,10,2025-03-14,0.195592286501377,"Sun Belt",-15.36,-6.89,-8,-8.18,-4.35,-2.83,-0.15,-1.14,-5.25,-8.82
"214","Oral Roberts","Summit",334,333,143,48,-17.74,-5.27,4,22,1,8,0,15,0,2,0,5,1,7,3,8,2025-03-14,0.0826446280991735,"Summit",-16.19,-4.8,-10.48,-5.26,-10.02,-0.91,-0.39,-3.81,-4.88,-7.11
"215","Oregon St.","WCC",85,85,101,237,-4.92,-1.05,19,12,9,3,3,7,1,7,2,2,4,1,12,2,2025-03-14,0.768595041322314,"WCC",-4.35,-1.08,-2.38,-0.25,-2.86,-1.24,-2.14,-0.79,-0.16,-1.26
"216","Pacific","WCC",295,294,100,123,-16.84,-6.32,7,24,3,9,2,13,0,6,1,6,3,3,3,9,2025-03-14,0.190082644628099,"WCC",-15.59,-5.83,-8.81,-8.1,-6.69,-0.8,-1.92,-3.39,-1.94,-8.34
"217","UT Rio Grande Valley","Southland",252,251,172,50,-11.01,-0.89,12,15,4,3,2,11,0,4,0,1,0,5,12,5,2025-03-14,0.308539944903581,"Southland",-10.11,-0.77,-9.34,-3.29,-6.91,0.09,-1.33,-0.74,-3.96,-4.08
"218","Penn St.","Big Ten",66,66,56,340,-4.16,0.07,16,15,10,1,3,8,2,10,3,3,4,2,7,0,2025-03-14,0.820936639118457,"Big Ten",-3.69,0.31,-4,-2.53,-1.1,-0.06,-2.07,-0.8,-1.01,0.19
"219","Penn","Ivy",303,304,149,142,-14.65,-6.28,8,19,4,9,3,10,0,5,0,3,0,5,8,6,2025-03-14,0.168044077134986,"Ivy",-13.79,-5.96,-7.83,-7.06,-5.85,-0.88,-2.09,-1.48,-4.98,-5.24
"220","Pepperdine","WCC",227,227,90,169,-13.19,-4.64,12,22,5,7,2,11,0,9,2,4,1,3,9,6,2025-03-14,0.377410468319559,"WCC",-12.37,-4.38,-8.48,-6.98,-5.17,-0.22,-3.2,-1.75,-2.19,-5.23
"221","Pittsburgh","ACC",62,62,68,69,-4.9,0.96,17,15,9,2,3,9,1,9,4,3,5,3,7,0,2025-03-14,0.831955922865014,"ACC",-3.72,1.19,-4.17,-0.84,-2.18,-0.7,-2.2,-0.37,-1.57,0.42
"222","Portland St.","Big Sky",203,201,334,326,-10.61,-3.9,16,13,5,5,5,10,0,0,0,3,3,5,13,5,2025-03-14,0.443526170798898,"Big Sky",-9.24,-3.34,-4.97,-0.44,-7.26,-1.54,0,-2.04,-3.41,-3.79
"223","Portland","WCC",288,288,102,305,-13.47,-6.6,10,20,3,8,3,9,0,6,0,4,2,6,8,4,2025-03-14,0.209366391184573,"WCC",-12.66,-6.36,-5.41,-4.8,-4.29,-3.57,-2,-2.56,-4.83,-3.27
"224","Prairie View A&M","SWAC",356,356,181,30,-22.49,-7.93,4,27,0,12,2,19,0,4,0,3,0,4,4,16,2025-03-14,0.0220385674931129,"SWAC",-21.18,-7.11,-13.1,-6.79,-13.42,-0.97,-1.19,-1.91,-3.1,-14.98
"225","Princeton","Ivy",166,166,252,292,-6.76,-2.24,17,10,9,4,7,4,1,1,1,3,5,4,10,2,2025-03-14,0.545454545454545,"Ivy",-5.58,-1.63,-3.95,-3.07,-1.34,-1.17,-0.51,-1.34,-2.49,-1.24
"226","Providence","Big East",100,101,57,179,-9.1,-2.9,12,20,6,5,2,9,1,9,2,8,3,3,6,0,2025-03-14,0.727272727272727,"Big East",-8.5,-2.64,-5.2,-2.19,-3.03,-3.28,-3.23,-3.56,-1.93,0.22
"227","Purdue","Big Ten",19,16,12,10,4.11,1.36,22,11,8,3,5,6,7,10,9,1,2,0,4,0,2025-03-14,0.950413223140496,"Big Ten",4.26,1.25,2.98,3.05,0.82,0.39,1.1,2.46,0.46,0.24
"228","Quinnipiac","Metro Atlantic",191,187,317,165,-10.11,-5.01,19,13,3,7,7,10,0,2,0,1,1,2,18,8,2025-03-14,0.476584022038568,"Metro Atlantic",-9.24,-4.75,-3.61,-1.59,-6.77,-0.88,-0.69,-0.64,-2.5,-5.41
"229","Radford","Big South",162,162,161,106,-8.26,-1.92,18,13,8,5,7,9,0,4,0,3,3,3,15,3,2025-03-14,0.556473829201102,"Big South",-7.24,-1.44,-5.18,-2.4,-4.36,-0.48,-1.48,-1.73,-2.02,-2.01
"230","Rhode Island","Atlantic 10",150,149,206,359,-8.91,-0.24,17,13,10,1,1,9,0,2,2,4,5,6,10,1,2025-03-14,0.589531680440771,"Atlantic 10",-7.78,-0.01,-6.86,-1.03,-6.09,-0.66,-0.5,-2.67,-4.24,-0.37
"231","Rice","American",205,205,227,360,-14.06,-2.2,13,18,9,3,4,8,0,2,1,4,1,7,11,5,2025-03-14,0.43801652892562,"American",-13.07,-1.81,-10.33,-5.81,-5.04,-2.22,-0.9,-2.6,-5.61,-3.96
"232","Richmond","Atlantic 10",253,253,109,275,-16.03,-6.4,8,22,3,8,2,11,0,5,0,4,4,10,4,3,2025-03-14,0.305785123966942,"Atlantic 10",-14.89,-6.09,-7.97,-7.28,-6.02,-1.59,-1.35,-3.08,-7.87,-2.59
"233","Rider","Metro Atlantic",314,314,298,140,-15.7,-4.67,14,19,4,7,8,11,0,3,0,1,2,3,12,12,2025-03-14,0.137741046831956,"Metro Atlantic",-14.63,-4.17,-9.62,-6.61,-7.18,-0.84,-1.04,-0.65,-1.37,-11.57
"234","Robert Morris(AQ)","Horizon",139,140,335,320,-5.29,-1.84,25,8,7,3,8,6,0,1,2,0,9,4,14,3,2025-03-14,0.619834710743802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Rutgers","Big Ten",77,77,33,161,-3.84,-1.78,15,17,7,4,3,8,4,13,3,2,2,2,6,0,2025-03-14,0.790633608815427,"Big Ten",-3.64,-1.63,-1.43,-0.68,-1.23,-1.73,-2.25,-0.45,-1.14,0.2
"236","Sacred Heart","Metro Atlantic",254,254,347,280,-15.61,-5.57,14,18,3,7,5,11,0,1,0,0,1,7,13,10,2025-03-14,0.303030303030303,"Metro Atlantic",-14.65,-5.17,-8.62,-4.59,-8.25,-1.81,-0.29,0,-4.62,-9.74
"237","St. Bonaventure","Atlantic 10",97,94,117,309,-5.08,0.49,21,11,11,1,7,6,0,4,4,3,9,3,8,1,2025-03-14,0.735537190082645,"Atlantic 10",-4,0.72,-4.52,-1.45,-2.3,-0.25,-1.17,-1.66,-0.55,-0.62
"238","Saint Francis(AQ)","Northeast",297,297,205,40,-12.9,-5.53,13,17,2,9,6,13,0,4,0,1,2,3,11,9,2025-03-14,0.184573002754821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","St. John's","Big East",13,14,66,167,6.6,0.18,29,4,9,2,8,2,5,4,10,0,8,0,6,0,2025-03-14,0.966942148760331,"Big East",7.28,0.41,5.94,3.59,3.29,0.4,2.13,3.76,1.14,0.25
"240","Saint Joseph's","Atlantic 10",74,76,130,238,-5.16,-1.91,22,11,9,4,4,6,1,3,3,3,8,3,10,2,2025-03-14,0.798898071625344,"Atlantic 10",-4.08,-1.77,-2.74,-2.15,-2.9,0.97,-0.75,-0.8,-1.17,-1.36
"241","Saint Louis","Atlantic 10",101,99,106,219,-7.74,-4.14,17,14,5,6,4,8,0,4,2,7,8,3,7,0,2025-03-14,0.724517906336088,"Atlantic 10",-6.39,-3.69,-2.13,-1.04,-3.43,-1.92,-1.21,-4.64,-0.97,0.43
"242","Sam Houston St.","CUSA",178,180,105,57,-13.12,-3.12,10,19,4,6,3,13,0,4,0,6,6,8,4,1,2025-03-14,0.512396694214876,"CUSA",-11.63,-2.79,-8.01,-2.86,-7.14,-1.63,-1.53,-3.97,-5.46,-0.67
"243","San Diego St.","Mountain West",52,51,63,7,0.59,1.45,20,9,6,2,6,4,3,6,5,2,4,1,8,0,2025-03-14,0.859504132231405,"Mountain West",0.97,1.27,0.19,0.0400000000000001,0.2,0.73,-0.21,0.62,0.01,0.55
"244","San Diego","WCC",324,324,107,249,-20.57,-8.11,5,27,2,10,0,12,0,6,0,6,0,5,5,10,2025-03-14,0.110192837465565,"WCC",-19.44,-7.82,-10.84,-10.78,-7.19,-1.47,-2.27,-3.96,-4.08,-9.13
"245","San Francisco","WCC",65,65,87,174,-0.58,-0.68,23,9,9,3,5,5,1,6,3,3,8,0,11,0,2025-03-14,0.823691460055096,"WCC",0.0400000000000001,-0.58,0.64,0.93,-0.9,0.00999999999999995,-1.2,-0.86,1.51,0.59
"246","San Jose St.","Mountain West",175,177,94,334,-11.02,-3.98,13,19,5,5,3,9,0,7,1,6,5,4,7,2,2025-03-14,0.520661157024793,"Mountain West",-10.17,-3.58,-6.23,-5.5,-3.71,-0.96,-2.61,-3.41,-2.68,-1.47
"247","Cal Baptist","WAC",172,171,214,199,-10.78,-4.49,17,15,7,7,4,8,0,3,0,5,4,5,13,2,2025-03-14,0.528925619834711,"WAC",-9.51,-4.14,-4.73,-3.71,-4.72,-1.08,-1.36,-3.32,-3.62,-1.21
"248","Merrimack","Metro Atlantic",181,179,234,51,-10.87,-4.68,18,15,3,8,9,8,0,2,1,3,0,1,17,9,2025-03-14,0.504132231404959,"Metro Atlantic",-9.83,-4.21,-4.76,-4.59,-3.5,-1.74,-0.47,-1.1,-2.59,-5.67
"249","Bellarmine","Atlantic Sun",352,352,209,141,-22.13,-7.7,3,26,1,10,0,16,0,2,0,3,0,7,3,14,2025-03-14,0.0330578512396694,"Atlantic Sun",-21.09,-7.27,-13.82,-9.4,-11.69,0,-0.45,-1.77,-5.66,-13.21
"250","UC San Diego","Big West",35,36,213,225,0.1,-0.33,27,4,8,2,12,2,2,1,1,1,9,2,15,0,2025-03-14,0.90633608815427,"Big West",0.920000000000001,-0.0299999999999999,0.79,-1.1,1.55,0.47,0.76,-0.48,-0.28,0.92
"251","Utah Tech","WAC",309,309,159,118,-21.2,-8.02,5,26,2,11,0,16,0,3,0,3,0,13,5,7,2025-03-14,0.151515151515151,"WAC",-19.67,-7.43,-11.5,-7.12,-11.06,-1.49,-1.14,-1.76,-10.44,-6.33
"252","Tarleton St.","WAC",302,302,118,47,-14.64,-6.34,9,20,2,10,1,14,0,4,0,4,1,8,8,4,2025-03-14,0.170798898071625,"WAC",-13.21,-5.83,-6.53,-2.25,-8.38,-2.58,-1.33,-2.33,-6.28,-3.27
"253","St. Thomas","Summit",118,118,299,270,-6.9,-3.22,21,10,7,5,7,8,0,1,1,3,5,5,15,1,2025-03-14,0.677685950413223,"Summit",-5.09,-2.56,-1.87,0.69,-4.41,-1.37,-0.45,-1.33,-3.44,0.13
"254","Santa Clara","WCC",57,57,98,159,-4.32,-2.36,20,12,8,5,6,5,2,4,4,3,5,4,9,1,2025-03-14,0.845730027548209,"WCC",-3.34,-1.92,-0.53,-1.46,-0.44,-1.44,-0.13,-0.28,-2.66,-0.27
"255","Seton Hall","Big East",210,210,55,201,-13.77,-4.03,7,25,5,6,0,11,1,9,1,9,2,4,3,3,2025-03-14,0.424242424242424,"Big East",-13.15,-3.73,-8.89,-7.53,-4.52,-1.1,-2.18,-5.24,-2.95,-2.78
"256","Siena","Metro Atlantic",259,259,345,279,-15.53,-4.42,14,18,5,6,4,10,0,1,1,0,1,6,12,11,2025-03-14,0.289256198347107,"Metro Atlantic",-14.54,-4,-9.58,-4.42,-7.53,-2.59,-0.3,0.31,-3.97,-10.58
"257","South Alabama","Sun Belt",122,124,262,218,-7.48,-3.13,19,11,6,5,8,6,0,1,1,4,5,1,13,5,2025-03-14,0.666666666666667,"Sun Belt",-6.46,-2.8,-2.93,-3.15,-2.58,-0.73,-0.26,-2.03,-0.0999999999999999,-4.07
