"","team","conf.x","net","prev_net","sos","non_conf_sos","wab","non_conf_wab","wins","losses","wins_non_conf","losses_non_conf","road_wins","road_losses","q1_win","q1_loss","q2_win","q2_loss","q3_win","q3_loss","q4_win","q4_loss","date","net_percentile","conf.y","total","non_con","league","home","away","neutral","quad_1","quad_2","quad_3","quad_4"
"278","Temple","American",164,164,194,325,-10.62,-3.67,16,15,7,5,3,9,0,2,2,3,5,7,9,3,2025-03-14,0.550964187327824,"American",-9.51,-3.18,-5.41,-0.74,-5.9,-2.87,-0.9,-1.38,-5.07,-2.16
"279","Tennessee St.","Ohio Valley",251,250,351,229,-13.9,-5.68,14,16,1,7,4,10,0,1,0,1,1,5,13,9,2025-03-14,0.31129476584022,"Ohio Valley",-12.96,-5.35,-6.74,-2.64,-7.63,-2.69,-0.33,-0.7,-3.95,-7.98
"280","Tennessee Tech","Ohio Valley",292,292,304,96,-14.06,-3.82,13,17,3,6,5,10,0,3,0,1,0,3,13,10,2025-03-14,0.198347107438017,"Ohio Valley",-13.1,-3.49,-8.66,-4.63,-6.64,-1.83,-1.07,-0.64,-2.53,-8.86
"281","Chattanooga","Southern",116,115,208,136,-4.8,-2.65,22,9,6,5,10,5,0,3,3,0,7,4,12,2,2025-03-14,0.683195592286501,"Southern",-4.01,-2.31,-0.93,-2.17,-1.07,-0.77,-1.02,0.85,-2.51,-1.33
"282","Tennessee","SEC",6,5,13,131,8.64,2.81,26,6,13,0,6,5,10,6,5,0,5,0,6,0,2025-03-14,0.986225895316804,"SEC",8.49,3.13,4.87,3.81,3.2,1.48,5.35,2.01,0.85,0.28
"283","Tennessee Martin","Ohio Valley",291,291,328,125,-16.43,-5.24,11,19,1,7,5,12,0,1,1,1,1,4,9,13,2025-03-14,0.201101928374656,"Ohio Valley",-15.4,-4.86,-9.66,-4.68,-8.86,-1.86,-0.13,-0.33,-3.12,-11.82
"284","Texas A&M","SEC",18,19,5,37,5.5,2.2,22,10,11,2,5,5,7,9,9,1,1,0,5,0,2025-03-14,0.953168044077135,"SEC",5.21,2.3,3.42,1.98,1.79,1.44,2.05,2.74,0.19,0.23
"285","TCU","Big 12",78,78,29,85,-2.64,-1.23,16,16,7,4,2,9,4,12,3,4,4,0,5,0,2025-03-14,0.787878787878788,"Big 12",-1.76,-1.02,-0.0600000000000001,1.47,-1.06,-2.17,-0.28,-2.2,0.48,0.24
"286","Texas Southern","SWAC",285,285,175,13,-12.72,-6.12,12,17,0,10,6,12,0,4,0,3,0,3,12,7,2025-03-14,0.21763085399449,"SWAC",-11.72,-5.59,-5.19,-3.76,-7.02,-0.94,-1.21,-1.86,-2.4,-6.25
"287","Texas Tech","Big 12",7,7,47,294,4.86,-0.52,25,8,9,2,8,2,9,5,4,3,6,0,6,0,2025-03-14,0.983471074380165,"Big 12",5.8,-0.26,5.7,1.48,4.72,-0.4,4.86,-0.39,1.09,0.24
