"","date","type","game_id","year","location","team","opponent"
"151",2023-11-06,"nc","Youngstown St.Louisiana Lafayette11-6",2024,"home","Louisiana Lafayette","Youngstown St."
"152",2023-11-06,"nc","Southern IndianaSaint Louis11-6",2024,"home","Saint Louis","Southern Indiana"
"153",2023-11-06,"nond1","Trinity BaptistStetson11-6",2024,"home","Stetson","Trinity Baptist"
"154",2023-11-06,"nond1","Clark AtlantaMercer11-6",2024,"home","Mercer","Clark Atlanta"
"155",2023-11-06,"nc","LongwoodSt. Bonaventure11-6",2024,"home","St. Bonaventure","Longwood"
"156",2023-11-06,"nond1","LinfieldOregon St.11-6",2024,"home","Oregon St.","Linfield"
"157",2023-11-06,"nc","LipscombWichita St.11-6",2024,"home","Wichita St.","Lipscomb"
"158",2023-11-06,"nc","New HampshireSyracuse11-6",2024,"home","Syracuse","New Hampshire"
"159",2023-11-06,"nc","Green BayIowa St.11-6",2024,"home","Iowa St.","Green Bay"
"160",2023-11-06,"nc","MerrimackVermont11-6",2024,"home","Vermont","Merrimack"
"161",2023-11-06,"nc","Holy CrossSiena11-6",2024,"home","Siena","Holy Cross"
"162",2023-11-06,"nc","North Dakota St.Western Michigan11-6",2024,"home","Western Michigan","North Dakota St."
"163",2023-11-06,"nond1","Wis.-StoutMilwaukee11-6",2024,"home","Milwaukee","Wis.-Stout"
"164",2023-11-06,"nond1","Bethesda (CA)San Francisco11-6",2024,"home","San Francisco","Bethesda (CA)"
"165",2023-11-06,"nond1","Carroll (MT)Utah Valley11-6",2024,"home","Utah Valley","Carroll (MT)"
"166",2023-11-06,"nond1","Fort LauderdaleTroy11-6",2024,"home","Troy","Fort Lauderdale"
"167",2023-11-06,"nc","StonehillGeorge Washington11-6",2024,"home","George Washington","Stonehill"
"168",2023-11-06,"nc","Southern UtahCal St. Bakersfield11-6",2024,"home","Cal St. Bakersfield","Southern Utah"
"169",2023-11-06,"nc","ManhattanBryant11-6",2024,"home","Bryant","Manhattan"
"170",2023-11-06,"nc","McNeese St.VCU11-6",2024,"home","VCU","McNeese St."
"171",2023-11-06,"nond1","Coast GuardQuinnipiac11-6",2024,"home","Quinnipiac","Coast Guard"
"172",2023-11-06,"nond1","St. AndrewsHigh Point11-6",2024,"home","High Point","St. Andrews"
"173",2023-11-06,"nond1","King (TN)East Tennessee St.11-6",2024,"home","East Tennessee St.","King (TN)"
"174",2023-11-06,"nond1","Dallas ChristianNorthwestern St.11-6",2024,"home","Northwestern St.","Dallas Christian"
"175",2023-11-06,"nond1","North AmericanStephen F. Austin11-6",2024,"home","Stephen F. Austin","North American"
"176",2023-11-06,"nond1","Va. WesleyanOld Dominion11-6",2024,"home","Old Dominion","Va. Wesleyan"
"177",2023-11-06,"nond1","Life (GA)Austin Peay11-6",2024,"home","Austin Peay","Life (GA)"
"178",2023-11-06,"nc","PrincetonRutgers11-6",2024,"neutral","Rutgers","Princeton"
"179",2023-11-06,"nond1","RegentWilliam & Mary11-6",2024,"home","William & Mary","Regent"
"180",2023-11-06,"nond1","LourdesIllinois St.11-6",2024,"home","Illinois St.","Lourdes"
"181",2023-11-06,"nond1","Johnson (FL)Jacksonville11-6",2024,"home","Jacksonville","Johnson (FL)"
"182",2023-11-06,"nond1","FiskTennessee St.11-6",2024,"home","Tennessee St.","Fisk"
"183",2023-11-06,"nond1","Sarah LawrenceSacred Heart11-6",2024,"home","Sacred Heart","Sarah Lawrence"
"184",2023-11-06,"nond1","Ky. WesleyanWestern Kentucky11-6",2024,"home","Western Kentucky","Ky. Wesleyan"
"185",2023-11-07,"nc","Florida Gulf CoastIndiana11-7",2024,"home","Indiana","Florida Gulf Coast"
"186",2023-11-07,"nc","UC IrvineSan Jose St.11-7",2024,"home","San Jose St.","UC Irvine"
"187",2023-11-07,"nc","Mount St. Mary'sMaryland11-7",2024,"home","Maryland","Mount St. Mary's"
"188",2023-11-07,"nond1","St. Thomas HoustonRice11-7",2024,"home","Rice","St. Thomas Houston"
"189",2023-11-07,"nc","AuburnBaylor11-7",2024,"neutral","Baylor","Auburn"
"190",2023-11-07,"nond1","Benedictine MesaWeber St.11-7",2024,"home","Weber St.","Benedictine Mesa"
"191",2023-11-07,"nc","PresbyterianVanderbilt11-7",2024,"home","Vanderbilt","Presbyterian"
"192",2023-11-07,"nc","Florida A&MCreighton11-7",2024,"home","Creighton","Florida A&M"
"193",2023-11-07,"nc","Northern IowaNorth Texas11-7",2024,"home","North Texas","Northern Iowa"
"194",2023-11-07,"nc","Sacramento St.Nevada11-7",2024,"home","Nevada","Sacramento St."
"195",2023-11-07,"nond1","Northern New MexicoWyoming11-7",2024,"home","Wyoming","Northern New Mexico"
"196",2023-11-07,"nc","Fort WayneDePaul11-7",2024,"home","DePaul","Fort Wayne"
"197",2023-11-07,"nc","Le MoyneGeorgetown11-7",2024,"home","Georgetown","Le Moyne"
"198",2023-11-07,"nc","UNC AshevilleMichigan11-7",2024,"home","Michigan","UNC Asheville"
"199",2023-11-07,"nond1","Oakland CityAppalachian St.11-7",2024,"home","Appalachian St.","Oakland City"
"200",2023-11-07,"nc","Stony BrookSt. John's11-7",2024,"home","St. John's","Stony Brook"
"201",2023-11-07,"nond1","Dalton St.Western Carolina11-7",2024,"home","Western Carolina","Dalton St."
"202",2023-11-07,"nond1","West Va. TechEastern Kentucky11-7",2024,"home","Eastern Kentucky","West Va. Tech"
"203",2023-11-07,"nc","DrexelLa Salle11-7",2024,"home","La Salle","Drexel"
"204",2023-11-07,"nond1","UC MercedUC Riverside11-7",2024,"home","UC Riverside","UC Merced"
"205",2023-11-07,"nc","North DakotaIowa11-7",2024,"home","Iowa","North Dakota"
"206",2023-11-07,"nond1","S'western AdventistTexas A&M Corpus Chris11-7",2024,"home","Texas A&M Corpus Chris","S'western Adventist"
"207",2023-11-07,"nond1","WestcliffLoyola Marymount11-7",2024,"home","Loyola Marymount","Westcliff"
"208",2023-11-07,"nond1","OakwoodKennesaw St.11-7",2024,"home","Kennesaw St.","Oakwood"
"209",2023-11-07,"nond1","GoshenBall St.11-7",2024,"home","Ball St.","Goshen"
"210",2023-11-07,"nc","AlbanyMassachusetts11-7",2024,"home","Massachusetts","Albany"
"211",2023-11-07,"nond1","Northwest IndianMontana11-7",2024,"home","Montana","Northwest Indian"
"212",2023-11-07,"nond1","BresciaJacksonville St.11-7",2024,"home","Jacksonville St.","Brescia"
"213",2023-11-07,"nond1","VanguardBoise St.11-7",2024,"home","Boise St.","Vanguard"
"214",2023-11-08,"nc","CanisiusSyracuse11-8",2024,"home","Syracuse","Canisius"
"215",2023-11-08,"nc","Florida AtlanticLoyola Chicago11-8",2024,"neutral","Loyola Chicago","Florida Atlantic"
"216",2023-11-08,"nc","Prairie View A&MSeattle11-8",2024,"home","Seattle","Prairie View A&M"
"217",2023-11-08,"nc","Jackson St.San Diego11-8",2024,"home","San Diego","Jackson St."
"218",2023-11-08,"nc","TroyOhio11-8",2024,"home","Ohio","Troy"
"219",2023-11-08,"nond1","BrevardWinthrop11-8",2024,"home","Winthrop","Brevard"
"220",2023-11-08,"nond1","Me.-Presque IsleMaine11-8",2024,"home","Maine","Me.-Presque Isle"
"221",2023-11-08,"nc","Western IllinoisSMU11-8",2024,"home","SMU","Western Illinois"
"222",2023-11-08,"nc","Utah TechSanta Clara11-8",2024,"home","Santa Clara","Utah Tech"
"223",2023-11-08,"nond1","Shawnee St.Morehead St.11-8",2024,"home","Morehead St.","Shawnee St."
"224",2023-11-08,"nond1","Penn St.-BrandywineFairleigh Dickinson11-8",2024,"home","Fairleigh Dickinson","Penn St.-Brandywine"
"225",2023-11-08,"nond1","SUNY MorrisvilleCornell11-8",2024,"home","Cornell","SUNY Morrisville"
"226",2023-11-08,"nond1","DefianceCleveland St.11-8",2024,"home","Cleveland St.","Defiance"
"227",2023-11-08,"nc","Texas A&M CommerceTexas Tech11-8",2024,"home","Texas Tech","Texas A&M Commerce"
"228",2023-11-08,"nond1","Xavier (LA)Alcorn St.11-8",2024,"home","Alcorn St.","Xavier (LA)"
"229",2023-11-08,"nond1","Monmouth (IL)Eastern Illinois11-8",2024,"home","Eastern Illinois","Monmouth (IL)"
"230",2023-11-08,"nc","BucknellPenn11-8",2024,"home","Penn","Bucknell"
"231",2023-11-08,"nond1","Northern New MexicoNorthern Colorado11-8",2024,"home","Northern Colorado","Northern New Mexico"
"232",2023-11-08,"nond1","Goldey-BeacomDelaware11-8",2024,"home","Delaware","Goldey-Beacom"
"233",2023-11-08,"nc","SouthernUNLV11-8",2024,"home","UNLV","Southern"
"234",2023-11-08,"nond1","Lincoln (MO)Saint Louis11-8",2024,"home","Saint Louis","Lincoln (MO)"
"235",2023-11-08,"nc","Arizona St.Mississippi St.11-8",2024,"neutral","Mississippi St.","Arizona St."
"236",2023-11-08,"nc","LipscombDrake11-8",2024,"home","Drake","Lipscomb"
