"","tram_rank","team","conf","tram","raw_em","adj_em","off_svi","def_svi","off_e_fg_pct","off_to_pct","off_or_pct","off_ft_rate","def_e_fg_pct","def_to_pct","def_or_pct","def_ft_rate"
"134",134,"UNC Greensboro","SC",1.36419419999999,5.09999999999999,2.40000000000001,99.2668822,97.902688,51.1,0.162,0.329,28.9,48.1,0.168,0.315,31.5
"135",135,"Wisconsin","B10",1.3604916,15.8,25.1,98.8424839,97.4819923,55.1,0.147,0.283,35.4,47.8,0.153,0.269,28.9
"136",136,"Incarnate Word","Slnd",1.25114219999999,-2.59999999999999,-8.09999999999999,97.891738,96.6405958,52.4,0.174,0.33,24.4,54.1,0.174,0.303,37.1
"137",137,"UTSA","Amer",1.21220340000001,-6.40000000000001,-3.2,96.5141972,95.3019938,49.2,0.161,0.268,30,54.3,0.206,0.357,41.8
"138",138,"Sacred Heart","MAAC",1.19896920000001,-1.7,-9.09999999999999,96.3109452,95.111976,51.8,0.178,0.306,27.8,53.6,0.178,0.28,28.5
"139",139,"Notre Dame","ACC",1.18371880000001,4.7,9.59999999999999,98.1623556,96.9786368,53.3,0.163,0.308,28.9,50.7,0.152,0.256,29.7
"140",140,"Delaware St.","MEAC",1.12829719999999,-7.2,-12,97.2591772,96.13088,47.1,0.177,0.324,33.3,52.5,0.185,0.32,38.8
"141",141,"Illinois St.","MVC",1.12013639999999,4.09999999999999,2.40000000000001,96.46515,95.3450136,57.1,0.154,0.25,31.9,53.8,0.163,0.248,30.8
"142",142,"Wichita St.","Amer",1.0979734,0.200000000000003,1.7,98.4151264,97.317153,49.7,0.156,0.296,34.1,51,0.163,0.29,26.5
"143",143,"Ohio","MAC",1.09068560000001,4.3,-0.599999999999994,96.1035224,95.0128368,53.5,0.158,0.252,34,51.9,0.184,0.293,35.8
"144",144,"Central Michigan","MAC",1.07643280000001,-5.39999999999999,-4,96.1870028,95.11057,48.6,0.188,0.329,31.1,52.9,0.18,0.285,33.5
"145",145,"Ohio St.","B10",1.0686664,11.6,21.8,97.9674747,96.8988083,54.3,0.157,0.289,35,46.2,0.167,0.291,40.9
"146",146,"George Washington","A10",1.0512228,8.60000000000001,3.10000000000001,96.4648503,95.4136275,50.3,0.181,0.317,40.6,46.9,0.193,0.325,28.1
"147",147,"USC","B10",1.03953469999999,5.3,13.2,96.3097916,95.2702569,54,0.164,0.271,37.9,50.6,0.181,0.291,34.9
"148",148,"Murray St.","MVC",1.01558180000001,-1.2,0,95.4358448,94.420263,50.7,0.176,0.282,42.2,53,0.178,0.265,35.1
"149",149,"Bryant","AE",0.956026400000013,5.3,1,98.836192,97.8801656,50.9,0.168,0.335,30.4,48,0.167,0.312,31.8
"150",150,"Saint Joseph's","A10",0.938882599999985,9.5,9.09999999999999,96.8992536,95.960371,51.8,0.169,0.296,31.9,46.8,0.165,0.266,25.5
"151",151,"Merrimack","MAAC",0.890106900000006,0.200000000000003,-1.90000000000001,95.284962,94.3948551,49.1,0.145,0.204,24,46.9,0.223,0.383,31.2
"152",152,"Columbia","Ivy",0.878659199999987,2.5,-4.7,96.6380888,95.7594296,55.6,0.164,0.278,30.6,54.9,0.176,0.289,26.3
"153",153,"Toledo","MAC",0.852655100000007,-2.90000000000001,-3.10000000000001,100.0196407,99.1669856,50.3,0.141,0.293,36,54.4,0.152,0.302,26.1
"154",154,"Xavier","BE",0.849678300000008,9.59999999999999,15.4,95.8922358,95.0425575,52.6,0.166,0.267,38.4,49,0.175,0.271,30.3
"155",155,"Washington","B10",0.811916000000011,-1.90000000000001,7.2,96.154463,95.342547,49.7,0.173,0.29,36.2,50.9,0.178,0.285,36
"156",156,"Mercer","SC",0.793888600000002,-2.89999999999999,-5,96.8988083,96.1049197,50.4,0.167,0.291,30.4,51.7,0.177,0.299,34.3
"157",157,"Radford","BSth",0.758840199999995,-1.2,-1,98.054698,97.2958578,50.3,0.18,0.349,41.2,51.5,0.166,0.297,36.8
"158",158,"High Point","BSth",0.756224499999988,14.1,6.89999999999999,99.6222529,98.8660284,56.7,0.159,0.329,41.1,49.1,0.157,0.308,36.9
"159",159,"Lipscomb","ASun",0.668568199999996,12.3,7.5,96.2649519,95.5963837,54.7,0.157,0.253,30.1,48.8,0.171,0.273,21.7
"160",160,"Army","PL",0.553081099999986,-4.39999999999999,-10.7,98.3737456,97.8206645,50.8,0.144,0.266,24.2,52.8,0.155,0.281,25.3
"161",161,"Northern Colorado","BSky",0.522066600000002,4.2,1.39999999999999,96.227847,95.7057804,56.8,0.154,0.245,31.2,53.7,0.154,0.234,36.3
"162",162,"Kentucky","SEC",0.509957800000009,12.6,22.1,100.081512,99.5715542,56.6,0.145,0.304,34.3,49.5,0.134,0.267,30.2
"163",163,"Florida Atlantic","Amer",0.499225100000018,2.3,5.2,97.9275771,97.428352,53.4,0.163,0.303,32.9,51.3,0.174,0.32,33.4
"164",164,"Middle Tennessee","CUSA",0.490680399999988,1.5,2.89999999999999,97.6932404,97.20256,50.5,0.167,0.308,31.7,48.7,0.168,0.3,30.5
"165",165,"James Madison","SB",0.429193100000006,1.5,2,97.5926987,97.1635056,50.6,0.173,0.321,28.9,50.8,0.157,0.272,31.9
"166",166,"Tulane","Amer",0.409030300000012,4.90000000000001,1.40000000000001,95.802304,95.3932737,50.8,0.168,0.27,34.8,47.5,0.187,0.309,33.6
"167",167,"Marist","MAAC",0.396691900000008,6.80000000000001,-4.8,95.2702569,94.873565,52.3,0.181,0.291,22.9,46.1,0.17,0.255,31.6
"168",168,"Tennessee Martin","OVC",0.388336499999994,-6.7,-11.1,95.6903916,95.3020551,46.2,0.196,0.339,34.3,52.1,0.187,0.307,33.7
"169",169,"Southeastern Louisiana","Slnd",0.343642299999985,1,-3.5,94.541418,94.1977757,49.8,0.19,0.298,33.6,50.1,0.191,0.293,39.4
"170",170,"UC Irvine","BW",0.295999399999999,14.1,13,94.393463,94.0974636,50.8,0.185,0.282,36.4,44.5,0.178,0.258,21
"171",171,"Nebraska Omaha","Sum",0.224599900000001,-1,-3.90000000000001,96.8988083,96.6742084,52.1,0.167,0.291,37,54,0.153,0.252,38.7
