"","team","conf","tram","raw_em","adj_em","old_svi_diff","off_svi","def_svi","old_svi_off","old_svi_def","to_pct","or_pct","d_to_pct","d_or_pct","raw_o","raw_d","adj_o","adj_d","off_e_fg_pct","off_ft_rate","def_e_fg_pct","def_ft_rate"
"86","Toledo","MAC",0.852655100000007,-2.90000000000001,-3.10000000000001,0.00199999999999534,100.0196407,99.1669856,100.152,100.15,0.141,0.293,0.152,0.302,110.1,113,112.1,115.2,50.3,36,54.4,26.1
"87","Akron","MAC",2.7158378,11,7.2,0.0510000000000161,98.0358624,95.3200246,100.156,100.105,0.172,0.328,0.177,0.282,113.3,102.3,111.9,104.7,54.1,24.8,48.9,34.2
"88","San Francisco","WCC",2.0617819,12.1,12.1,0.0250000000000057,96.1533375,94.0915556,100.12,100.095,0.175,0.295,0.188,0.283,110.7,98.6,111.9,99.8,54,36.1,47.9,34.6
"89","Illinois Chicago","MVC",-0.175066999999999,1.8,3.3,0.0259999999999962,97.1715525,97.3466195,100.142,100.116,0.175,0.317,0.155,0.271,110.6,108.8,111.6,108.3,53.5,35.6,52.1,34
"90","California","ACC",2.0388055,0.599999999999994,3.8,0.0509999999999877,100.2231295,98.184324,100.192,100.141,0.165,0.357,0.16,0.301,110,109.4,111.5,107.7,48.5,38.4,52.1,30.6
"91","Colorado St.","MWC",-0.338993000000002,7.2,10.1,0,94.5090202,94.8480132,100.083,100.083,0.174,0.257,0.169,0.252,107.8,100.6,111.3,101.2,53.3,28.4,48.5,33.1
"92","Washington St.","WCC",-3.74301469999999,3.09999999999999,5.89999999999999,-0.0360000000000014,93.417984,97.1609987,100.112,100.148,0.208,0.32,0.179,0.327,109.8,106.7,111.3,105.4,56.7,34.3,50.5,32.7
"93","Northern Colorado","BSky",0.522066600000002,4.2,1.39999999999999,0.0110000000000099,96.227847,95.7057804,100.091,100.08,0.154,0.245,0.154,0.234,113.4,109.2,111.3,109.9,56.8,31.2,53.7,36.3
"94","UNC Wilmington","CAA",5.5231957,9.8,4.2,0.0849999999999937,100.5149687,94.991773,100.192,100.107,0.161,0.353,0.183,0.29,113.7,103.9,111.2,107,51.7,40.7,50.6,31.5
"95","Northern Iowa","MVC",2.18816289999998,8.40000000000001,5.5,0.0150000000000006,95.9422051,93.7540422,100.092,100.077,0.159,0.251,0.181,0.258,112.4,104,111.1,105.6,56.1,36.7,52,29.9
"96","Arizona St.","B12",-4.03436479999999,1.39999999999999,13.5,-0.0480000000000018,93.541716,97.5760808,100.086,100.134,0.19,0.276,0.164,0.298,103.6,102.2,111.1,97.6,51.7,36.1,47.6,28.2
"97","Jacksonville St.","CUSA",-2.16684660000001,3.7,4.40000000000001,0.0100000000000051,99.2443668,101.4112134,100.159,100.149,0.157,0.316,0.118,0.267,110,106.3,111,106.6,51,30.8,48.4,25.6
"98","South Dakota","Sum",2.0700478,-3.39999999999999,-7.59999999999999,-0.0169999999999959,102.0006842,99.9306364,100.183,100.2,0.134,0.317,0.174,0.374,113.9,117.3,111,118.6,51.3,47,55.5,34.2
"99","Utah","B12",-0.45585100000001,7.8,9.5,0.0240000000000009,97.1186064,97.5744574,100.155,100.131,0.184,0.339,0.162,0.293,109.2,101.4,111,101.5,53.4,38.5,46.7,32.9
"100","South Dakota St.","Sum",-0.117781799999989,7.80000000000001,5.60000000000001,0.0669999999999931,97.2189728,97.3367546,100.154,100.087,0.182,0.336,0.134,0.221,113.4,105.6,110.9,105.3,54.8,28.9,49.9,30.9
"101","UNC Asheville","BSth",2.2217545,1,-0.100000000000009,0,100.1384465,97.916692,100.166,100.166,0.149,0.315,0.18,0.346,111.7,110.7,110.8,110.9,52,34.7,52.6,40.1
"102","North Alabama","ASun",6.32433520000001,8.5,3.2,0.0739999999999839,102.9666736,96.6423384,100.2,100.126,0.132,0.332,0.172,0.298,113.4,104.9,110.7,107.5,51,28.7,51,28.3
"103","Bradley","MVC",-3.14321280000001,10.6,6.89999999999999,-0.0319999999999965,94.0515072,97.19472,100.088,100.12,0.184,0.272,0.16,0.28,113.7,103.1,110.6,103.7,57.3,32.7,47.8,35
"104","West Virginia","B12",1.9015199,7.8,15.9,-0.0169999999999959,95.8198405,93.9183206,100.098,100.115,0.165,0.263,0.203,0.318,103.7,95.9,110.6,94.7,50.4,26.5,45.2,30.9
"105","Temple","Amer",0.164283600000005,2.09999999999999,1.90000000000001,0.00800000000000978,99.078835,98.9145514,100.163,100.155,0.162,0.325,0.159,0.314,109.3,107.2,110.4,108.5,50.1,44.7,49.8,35.5
"106","Columbia","Ivy",0.878659199999987,2.5,-4.7,0.00100000000000477,96.6380888,95.7594296,100.114,100.113,0.164,0.278,0.176,0.289,113.1,110.6,110.2,114.9,55.6,30.6,54.9,26.3
"107","William & Mary","CAA",-2.2286356,-1.09999999999999,-3.80000000000001,-0.0420000000000158,94.8333904,97.062026,100.09,100.132,0.174,0.264,0.17,0.302,110.2,111.3,110.1,113.9,54.3,36.9,53.3,37
"108","Eastern Kentucky","ASun",4.0580302,-2,-2.90000000000001,0.0300000000000011,101.7062872,97.648257,100.187,100.157,0.141,0.328,0.178,0.335,109.8,111.8,110.1,113,48.9,26.7,53.1,31.4
"109","Minnesota","B10",-0.327900999999997,0.0999999999999943,8.3,-0.0100000000000051,97.2251455,97.5530465,100.128,100.138,0.165,0.293,0.167,0.305,105.3,105.2,110,101.7,50.9,32.9,49,31.5
"110","Lipscomb","ASun",0.668568199999996,12.3,7.5,-0.00599999999998602,96.2649519,95.5963837,100.096,100.102,0.157,0.253,0.171,0.273,111.7,99.4,110,102.5,54.7,30.1,48.8,21.7
"111","Radford","BSth",0.758840199999995,-1.2,-1,0.0379999999999967,98.054698,97.2958578,100.169,100.131,0.18,0.349,0.166,0.297,109.8,111,110,111,50.3,41.2,51.5,36.8
"112","Arkansas St.","SB",3.32046249999999,10.6,8.80000000000001,0.032999999999987,100.306885,96.9864225,100.171,100.138,0.15,0.321,0.175,0.313,109.2,98.6,109.9,101.1,48.9,35.2,45.4,36.8
"113","Liberty","CUSA",-1.0676199,14.9,11.7,-0.061000000000007,94.298575,95.3661949,100.045,100.106,0.15,0.195,0.177,0.283,110.7,95.8,109.9,98.2,57.6,29.3,45.8,26.2
"114","LSU","SEC",-3.86808439999999,6.7,9.60000000000001,-0.0429999999999922,94.9574416,98.825526,100.13,100.173,0.198,0.328,0.172,0.345,107.9,101.2,109.9,100.3,52.3,34.2,46.5,27.9
"115","St. Bonaventure","A10",4.23359170000002,8.59999999999999,7.2,0.0630000000000024,97.5519315,93.3183398,100.132,100.069,0.163,0.295,0.182,0.251,108.8,100.2,109.9,102.7,51.6,33,50.4,22.9
"116","Sam Houston St.","CUSA",-2.2844463,-7.5,-1.39999999999999,-0.0259999999999962,96.1230225,98.4074688,100.138,100.164,0.187,0.325,0.172,0.336,105.2,112.7,109.7,111.1,49.9,34.3,53.3,35.1
"117","Texas St.","SB",-1.35352640000001,-0.299999999999997,-2.2,-0.00300000000001432,96.996652,98.3501784,100.146,100.149,0.18,0.326,0.163,0.312,108.7,109,109.7,111.9,50.8,37.3,50.9,40
"118","UNLV","MWC",1.7194421,-0.200000000000003,5.8,-0.0159999999999911,97.2787648,95.5593227,100.116,100.132,0.156,0.272,0.191,0.323,106.2,106.4,109.7,103.9,50.4,35.5,51.1,34.6
"119","Virginia Tech","ACC",-2.50294170000001,-4.59999999999999,0.899999999999991,0.00600000000000023,95.3010839,97.8040256,100.136,100.13,0.197,0.333,0.158,0.288,106,110.6,109.6,108.7,51.4,32.7,52.6,31.9
"120","Florida St.","ACC",2.57057379999999,7.59999999999999,9.8,0.0169999999999959,96.5452784,93.9747046,100.13,100.113,0.176,0.306,0.201,0.314,107.3,99.7,109.6,99.8,51.3,40.3,47.3,38
"121","Syracuse","ACC",-3.05881730000002,-6.2,3.7,-0.000999999999990564,96.0095462,99.0683635,100.123,100.124,0.179,0.302,0.135,0.259,104.2,110.4,109.5,105.8,50.4,32.1,52,31.4
"122","James Madison","SB",0.429193100000006,1.5,2,0.032999999999987,97.5926987,97.1635056,100.148,100.115,0.173,0.321,0.157,0.272,107.2,105.7,109.5,107.5,50.6,28.9,50.8,31.9
"123","UC Santa Barbara","BW",-2.9453288,8.60000000000001,1.90000000000001,-0.019999999999996,93.5771642,96.522493,100.093,100.113,0.194,0.287,0.165,0.278,111.2,102.6,109.5,107.6,56.4,28.6,48,31.5
"124","San Diego St.","MWC",3.6022861,9.90000000000001,16,0.0350000000000108,97.551921,93.9496349,100.141,100.106,0.169,0.31,0.197,0.303,104.4,94.5,109.4,93.4,49.5,30.7,44,39.7
"125","Saint Joseph's","A10",0.938882599999985,9.5,9.09999999999999,0.0260000000000105,96.8992536,95.960371,100.127,100.101,0.169,0.296,0.165,0.266,108.2,98.7,109.3,100.2,51.8,31.9,46.8,25.5
"126","Princeton","Ivy",4.8193002,3.40000000000001,2.8,0.0549999999999926,98.16106,93.3417598,100.126,100.071,0.15,0.276,0.183,0.254,108.4,105,109.3,106.5,52.5,27.5,52.3,33.3
"127","North Texas","Amer",6.4411144,12.8,12.6,0.0979999999999848,97.548676,91.1075616,100.158,100.06,0.18,0.338,0.208,0.268,110.1,97.3,109.2,96.6,51.6,37.5,47.5,37.8
"128","North Dakota","Sum",1.39937420000001,-9.3,-8.5,0.0400000000000063,100.069284,98.6699098,100.181,100.141,0.16,0.341,0.153,0.294,108.9,118.2,109.2,117.7,49.3,33.4,57.8,31.9
