Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4
Western Mich.,MAC,330,322,196,194,4-23,3-14,1-9,1-15,150,139,0-4,0-3,1-5,3-11
Sacred Heart,NEC,331,331,360,290,14-16,8-8,6-8,7-10,354,294,0-2,0-1,0-2,14-11
Central Ark.,ASUN,332,332,209,198,8-22,4-14,4-8,2-13,212,174,0-4,0-2,2-5,6-11
Coppin St.,MEAC,333,333,214,200,8-22,3-10,5-12,4-16,165,89,0-3,0-3,2-9,6-7
Stony Brook,CAA,334,334,268,218,8-21,6-12,2-9,3-13,240,164,0-3,0-2,0-9,8-7
NJIT,America East,335,335,312,236,6-22,4-12,2-10,2-14,339,341,0-0,0-3,0-7,6-12
Lindenwood,OVC,336,337,323,242,8-20,6-12,2-8,2-14,298,101,0-3,0-1,0-3,8-13
Saint Francis (PA),NEC,337,336,358,272,10-17,9-7,1-10,3-12,344,179,0-2,0-2,0-2,10-11
Holy Cross,Patriot,338,338,323,242,8-22,7-12,1-10,4-11,343,315,0-1,0-1,1-3,7-17
Central Conn. St.,NEC,339,339,359,276,10-21,7-9,3-12,4-13,356,305,0-1,0-1,0-4,10-15
South Carolina St.,MEAC,340,340,234,206,4-24,2-11,2-13,1-19,204,112,0-2,0-3,2-9,2-10
McNeese,Southland,341,341,294,227,7-22,5-12,2-10,3-14,143,8,0-4,0-2,1-3,6-13
Columbia,Ivy League,342,343,200,195,5-21,2-11,3-10,1-12,223,302,0-3,1-1,0-8,4-9
Eastern Ill.,OVC,343,345,326,243,7-22,5-13,2-9,3-12,325,173,1-2,0-0,1-3,5-17
UAlbany,America East,344,342,268,218,6-23,3-13,3-10,1-16,244,165,0-3,0-2,1-7,5-11
Hampton,CAA,345,344,259,216,7-23,5-13,2-10,1-13,252,260,0-1,0-5,0-8,7-9
UIW,Southland,346,346,356,268,9-18,6-11,3-7,3-11,350,242,0-1,0-1,1-3,8-13
Alabama St.,SWAC,347,347,329,244,7-21,6-10,1-11,2-16,239,26,0-4,0-2,0-4,7-11
New Orleans,Southland,348,348,333,246,8-18,7-10,1-8,4-9,295,72,0-2,0-1,1-4,7-11
