Rank,Institution,Conference,Division,fall_final,w_cc_rank,w_cc_pts,m_cc_rank,m_cc_pts,w_fh_rank,w_fh_pts,fb_rank,fb_pts,w_soc_rank,w_soc_pts,m_soc_rank,m_soc_pts,w_vb_rank,w_vb_pts
108,Gonzaga,WCC,DI,63,0,0,13,63,0,0,0,0,0,0,0,0,0,0
109,Kansas State,Big 12,FBS,61.5,0,0,0,0,0,0,14,61.5,0,0,0,0,0,0
110,Villanova,Big East,FCS,55,0,0,19,55,0,0,0,0,0,0,0,0,0,0
111,Troy,Sun Belt,FBS,54,0,0,0,0,0,0,20,54,0,0,0,0,0,0
112,Butler,Big East,FCS,53,0,0,21,53,0,0,0,0,0,0,0,0,0,0
112,Gardner-Webb,Big South,FCS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Montana,Big Sky,FCS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Richmond,Atlantic 10,FCS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Weber State,Big Sky,FCS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Loyola Chicago,Atlantic 10,DI,52,0,0,32,27,0,0,0,0,0,0,0,0,33,25
118,Akron,MAC,FBS,50,0,0,0,0,0,0,0,0,0,0,17,50,0,0
118,Bowling Green,MAC,FBS,50,0,0,0,0,0,0,51,25,0,0,0,0,33,25
118,Brown,Ivy League,FCS,50,0,0,0,0,0,0,0,0,17,50,0,0,0,0
118,Denver,Summit,DI,50,0,0,0,0,0,0,0,0,0,0,17,50,0,0
118,Elon,CAA,FCS,50,0,0,0,0,0,0,0,0,0,0,33,25,0,0
118,Florida Gulf Coast,ASUN,DI,50,0,0,0,0,0,0,0,0,33,25,0,0,33,25
118,Fresno State,Mountain West,FBS,50,0,0,0,0,0,0,24,50,0,0,0,0,0,0
118,Georgia Tech,ACC,FBS,50,0,0,0,0,0,0,0,0,0,0,0,0,17,50
118,Hofstra,CAA,DI,50,0,0,0,0,0,0,0,0,33,25,33,25,0,0
118,Missouri State,Missouri Valley,FCS,50,0,0,0,0,0,0,0,0,33,25,33,25,0,0
118,Northern Iowa,Missouri Valley,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,17,50
118,Rutgers,Big Ten,FBS,50,0,0,0,0,0,0,0,0,33,25,33,25,0,0
118,San Jose State,Mountain West,FBS,50,0,0,0,0,0,0,51,25,33,25,0,0,0,0
118,Santa Clara,WCC,DI,50,0,0,0,0,0,0,0,0,17,50,0,0,0,0
118,South Florida,American,FBS,50,0,0,0,0,0,0,0,0,0,0,17,50,0,0
118,UTSA,Conference USA,FBS,50,0,0,0,0,0,0,51,25,33,25,0,0,0,0
118,Vanderbilt,SEC,FBS,50,0,0,0,0,0,0,0,0,17,50,0,0,0,0
118,Xavier,Big East,DI,50,0,0,0,0,0,0,0,0,17,50,0,0,0,0
136,Boise State,Mountain West,FBS,45,0,0,0,0,0,0,26,45,0,0,0,0,0,0
136,East Carolina,American,FBS,45,0,0,0,0,0,0,26,45,0,0,0,0,0,0
136,Eastern Michigan,MAC,FBS,45,0,0,0,0,0,0,26,45,0,0,0,0,0,0
136,Middle Tennessee State,Conference USA,FBS,45,0,0,0,0,0,0,26,45,0,0,0,0,0,0
136,Ohio,MAC,FBS,45,0,0,0,0,0,0,26,45,0,0,0,0,0,0
136,Southern Mississippi,Sun Belt,FBS,45,0,0,0,0,0,0,26,45,0,0,0,0,0,0
136,Texas Tech,Big 12,FBS,45,0,0,0,0,0,0,26,45,0,0,0,0,0,0
136,UAB,Conference USA,FBS,45,0,0,0,0,0,0,26,45,0,0,0,0,0,0
144,Arkansas State,Sun Belt,FBS,27,0,0,32,27,0,0,0,0,0,0,0,0,0,0
144,Iona,MAAC,DI,27,0,0,32,27,0,0,0,0,0,0,0,0,0,0
144,La Salle,Atlantic 10,DI,27,0,0,32,27,0,0,0,0,0,0,0,0,0,0
144,Wichita State,American,DI,27,0,0,32,27,0,0,0,0,0,0,0,0,0,0
148,Bradley,Missouri Valley,DI,26,32,26,0,0,0,0,0,0,0,0,0,0,0,0
