#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
1043,Felix Morin,CAN,22,81.1,7.41,3.21,2.31,0.66,19.00%,8.20%,10.80%,0.238,1.29,0.285,61.60%,2.77,4.83,-2.06
1044,Truitt Webb,SELA,,45.2,9.07,4.53,2,0.99,21.60%,10.80%,10.80%,0.264,1.55,0.328,77.80%,3.55,5.61,-2.06
1045,Caden Glauber,UNC,18,64.1,10.35,4.62,2.24,0.56,27.90%,12.50%,15.50%,0.175,1.13,0.24,84.00%,1.96,4.03,-2.07
1046,Bryan Peck,CBU,23,70.1,7.93,2.69,2.95,1.28,21.20%,7.20%,14.00%,0.232,1.18,0.267,79.70%,3.33,5.4,-2.07
1047,Trevor Nikolis,UNF,20,49.1,6.2,4.38,1.42,0.91,16.00%,11.30%,4.70%,0.19,1.2,0.207,71.40%,3.83,5.91,-2.08
1048,Camden Matthews,ALST,23,51.1,7.71,3.16,2.44,0.35,19.60%,8.00%,11.60%,0.239,1.29,0.297,74.80%,3.33,5.44,-2.11
1049,Jace Gillmore,SCU,,65.2,8.09,3.02,2.68,1.51,21.20%,7.90%,13.30%,0.218,1.17,0.242,73.20%,3.84,5.95,-2.11
1050,Hampton Phillips,GRAM,20,43.2,4.53,5.15,0.88,1.44,9.90%,11.20%,-1.30%,0.294,1.79,0.305,65.00%,7.21,9.33,-2.12
1051,Mason Snyder,WCU,22,53.2,7.71,3.19,2.42,0.5,21.50%,8.90%,12.60%,0.186,1.02,0.228,71.40%,1.84,3.97,-2.12
1052,Cullen Condon,WOF,,58.2,7.82,3.22,2.43,0.77,20.90%,8.60%,12.30%,0.201,1.09,0.241,72.70%,2.61,4.74,-2.13
1053,Braden Gebhardt,YSU,22,83,10.73,2.93,3.67,0.76,28.10%,7.70%,20.50%,0.217,1.16,0.292,71.90%,2.82,4.96,-2.14
1054,Ryan Karst,INST,22,57.2,7.65,3.28,2.33,0.62,19.80%,8.50%,11.30%,0.211,1.14,0.256,73.60%,3.28,5.45,-2.17
1055,Evan Jones,UCF,22,40,10.35,2.48,4.18,1.8,26.90%,6.40%,20.50%,0.196,1.05,0.221,76.20%,3.15,5.33,-2.18
1056,Clark Lincoln,FAMU,20,41.2,9.5,5.4,1.76,0.86,22.70%,12.90%,9.80%,0.235,1.51,0.298,65.20%,4.54,6.74,-2.2
1057,Ben Cherico,SLU,,84,8.14,3.32,2.45,0.96,21.20%,8.60%,12.50%,0.21,1.15,0.248,66.70%,3.21,5.42,-2.21
1058,Evan Myers,WCU,,54,7,5,1.4,1.33,16.50%,11.80%,4.70%,0.278,1.65,0.315,80.20%,4.33,6.54,-2.21
1059,Easton Teel,ORU,,72.1,8.34,2.36,3.53,1,21.80%,6.20%,15.60%,0.235,1.18,0.282,80.70%,3.11,5.32,-2.21
1060,Nathan Leininger,TOL,22,87,8.48,3.41,2.48,0.62,22.70%,9.10%,13.50%,0.207,1.14,0.26,77.50%,2.9,5.11,-2.22
1061,Sheamus Ryan,NDSU,,48,5.25,2.06,2.55,0.19,13.50%,5.30%,8.20%,0.281,1.35,0.325,81.40%,2.44,4.66,-2.22
1062,Chansen Cole,WVU,,69.2,8.91,3.23,2.76,1.03,22.00%,8.00%,14.10%,0.192,1.13,0.225,81.60%,2.71,4.95,-2.23
1063,Hayden Bailey,CMU,,73.1,6.75,4.54,1.49,0.98,16.70%,11.20%,5.50%,0.224,1.35,0.252,71.00%,4.42,6.66,-2.25
1064,Chris Torres,UPST,,66,7.64,3.55,2.15,2.73,18.80%,8.70%,10.10%,0.284,1.55,0.292,69.20%,5.73,7.98,-2.25
1065,Elias Holbert,VCU,23,53,9.34,5.6,1.67,0.34,23.50%,14.10%,9.40%,0.197,1.34,0.265,77.40%,2.72,5,-2.28
1066,Michael Addari,ILST,22,62.1,9.53,3.03,3.14,0.43,25.50%,8.10%,17.40%,0.224,1.16,0.302,68.10%,2.17,4.47,-2.31
1067,Aidan Paul,HPU,,66,6.55,3.82,1.71,1.91,16.40%,9.60%,6.80%,0.251,1.41,0.259,70.50%,4.91,7.22,-2.31
1068,Harbersting Abreu,BCU,21,64.2,8.63,3.2,2.7,1.39,21.10%,7.80%,13.30%,0.303,1.61,0.364,73.40%,4.31,6.65,-2.33
1069,Charlie Hale,CONN,21,62.1,8.66,2.74,3.16,0.87,22.60%,7.10%,15.40%,0.235,1.2,0.291,82.00%,2.74,5.08,-2.34
1070,Yasseel Samboy,NORF,,41.2,9.07,3.24,2.8,1.3,22.10%,7.90%,14.20%,0.268,1.44,0.325,66.60%,4.54,6.88,-2.34
1071,Kaden Smith,USF,20,46.2,10.03,4.82,2.08,1.54,23.60%,11.40%,12.30%,0.23,1.41,0.28,76.60%,4.24,6.59,-2.35
1072,Maddux Frese,IOWA,21,64.2,5.29,3.2,1.65,1.53,13.90%,8.40%,5.50%,0.241,1.28,0.245,77.60%,3.62,6,-2.38
1073,Nick Lewis,WSU,,82.1,5.9,2.73,2.16,0.77,15.50%,7.20%,8.30%,0.246,1.26,0.277,70.70%,3.39,5.77,-2.38
1074,Jason DeCaro,UNC,20,71,8.75,4.06,2.16,0.63,23.30%,10.80%,12.50%,0.23,1.28,0.295,83.50%,2.03,4.41,-2.39
1075,Noah Berry,SAM,,49.2,6.52,5.98,1.09,0.54,16.10%,14.80%,1.30%,0.222,1.49,0.26,78.90%,3.08,5.47,-2.39
1076,Adam Jamison,LIP,,46,7.43,4.11,1.81,0.98,18.10%,10.00%,8.10%,0.267,1.54,0.313,72.70%,3.13,5.53,-2.4
1077,Thomas Howard,PUR,22,46,5.09,3.72,1.37,1.76,12.30%,9.00%,3.30%,0.261,1.48,0.261,77.40%,4.3,6.71,-2.41
1078,Kenney Fabian,UAPB,22,81.1,6.2,2.99,2.07,1.11,15.40%,7.40%,8.00%,0.245,1.29,0.269,59.60%,4.76,7.18,-2.42
1079,Bryce McKnight,SDSU,21,57.1,8.01,2.51,3.19,1.41,19.80%,6.20%,13.60%,0.27,1.36,0.312,69.40%,4.24,6.67,-2.43
1080,Joey Giordano,RICH,,73,7.64,2.71,2.82,1.23,20.00%,7.10%,12.90%,0.224,1.16,0.254,78.20%,3.08,5.54,-2.46
1081,Colby Barker,MRMK,,66.2,6.89,4.59,1.5,1.49,17.60%,11.80%,5.90%,0.236,1.4,0.255,77.50%,4.19,6.67,-2.48
1082,Dylan Farley,ARST,,55,4.91,4.58,1.07,0.65,12.00%,11.20%,0.80%,0.221,1.35,0.241,75.20%,3.76,6.26,-2.5
1083,Harrison Engle,FAIR,,57,9.16,6.47,1.41,1.42,22.70%,16.00%,6.60%,0.198,1.46,0.228,79.00%,4.11,6.63,-2.53
1084,Ryan Towers,ECU,23,47.2,6.99,3.59,1.95,1.13,18.00%,9.20%,8.70%,0.22,1.22,0.246,73.80%,3.21,5.8,-2.59
1085,Alex Lyon,COFC,22,62.2,4.02,1.58,2.55,1.15,10.60%,4.20%,6.40%,0.241,1.12,0.244,76.30%,3.45,6.04,-2.6
1086,Griffen Paige,WRST,,68.1,8.82,4.21,2.09,1.58,23.30%,11.10%,12.20%,0.198,1.19,0.22,72.00%,4.48,7.09,-2.62
1087,Kevin Opanel,MONM,,42.2,5.48,2.74,2,1.69,14.30%,7.10%,7.10%,0.25,1.27,0.254,73.20%,4.22,6.85,-2.63
1088,Ben Alekson,FAIR,,78.1,7.01,3.22,2.18,0.8,18.30%,8.40%,9.90%,0.23,1.24,0.267,81.50%,2.53,5.21,-2.68
1089,Garret Plata,PAC,,71,9,5.2,1.73,0.38,23.10%,13.30%,9.70%,0.208,1.34,0.274,84.90%,2.28,4.96,-2.68
1090,James Peterson,ALST,20,67.2,5.59,2.79,2,0.4,13.40%,6.70%,6.70%,0.269,1.45,0.307,67.50%,3.19,5.88,-2.69
1091,Edwin Sanchez,BCU,22,73.2,8.8,3.91,2.25,0.37,23.80%,10.60%,13.20%,0.2,1.15,0.263,76.00%,2.69,5.42,-2.74
1092,James Reilly,UNH,,45,5,8.6,0.58,0.8,11.00%,18.90%,-7.90%,0.253,1.96,0.275,63.80%,6,8.82,-2.82
1093,Sam Perry,MASS,,36.2,7.85,3.44,2.29,0.49,18.10%,7.90%,10.20%,0.187,1.15,0.224,76.60%,2.95,5.79,-2.85
1094,Joshua Pena,TXSO,,41,5.71,4.83,1.18,0.66,13.50%,11.50%,2.10%,0.229,1.39,0.258,74.50%,4.83,7.84,-3.01
1095,Ryland Urbanczyk,RICE,,55.2,5.5,4.85,1.13,0.81,13.00%,11.50%,1.50%,0.193,1.31,0.207,85.10%,2.75,5.88,-3.14
1096,Andrew Malec,MERC,22,56.2,7.46,6.99,1.07,0.79,17.70%,16.60%,1.10%,0.217,1.61,0.255,71.60%,4.29,7.47,-3.18
1097,John Hegarty,COR,22,34,5.03,5.03,1,0.26,13.10%,13.10%,0.00%,0.19,1.21,0.219,82.70%,2.65,5.84,-3.19
1098,Ben Rabatin,KENT,21,66,8.18,4.09,2,1.91,20.00%,10.00%,10.00%,0.217,1.32,0.228,82.00%,3.95,7.24,-3.28
1099,Tanner Walker,FAMU,23,45.2,8.08,4.93,1.64,0.2,20.00%,12.20%,7.80%,0.215,1.36,0.277,74.30%,2.56,5.96,-3.4
1100,Aidan Russell,SDSU,,49.2,7.43,2.36,3.15,1.09,21.70%,6.90%,14.80%,0.14,0.74,0.144,70.60%,2.36,5.94,-3.58
1101,Jack Hill,ORU,,45.2,4.73,2.36,2,1.38,14.00%,7.00%,7.00%,0.159,0.81,0.143,89.40%,2.36,6.54,-4.18
1102,Nick Noble,FDU,,42.1,7.23,4.89,1.48,0.85,18.90%,12.80%,6.10%,0.187,1.2,0.214,82.10%,2.76,7.19,-4.42
