#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
688,Dillon Kirksey,COPP,,72.2,7.18,3.96,1.81,1.24,16.20%,8.90%,7.30%,0.299,1.73,0.341,43.50%,6.69,7.45,-0.76
689,Chris McCormack,EVAN,,42.1,9.14,2.98,3.07,0.21,22.30%,7.30%,15.00%,0.26,1.39,0.341,69.20%,3.4,4.17,-0.77
690,Ryan Lynch,UNC,21,73,8.38,3.21,2.62,0.99,20.60%,7.90%,12.70%,0.267,1.41,0.325,74.20%,4.32,5.08,-0.77
691,Gage Peterson,APP,21,78,11.65,4.15,2.81,0.46,30.40%,10.80%,19.60%,0.191,1.17,0.279,68.50%,3.12,3.88,-0.77
692,Sean Davis,IONA,23,49,6.61,3.12,2.12,0.18,16.70%,7.90%,8.80%,0.238,1.29,0.288,69.10%,3.67,4.44,-0.77
693,Gavin Eddy,CAL,21,84.2,9.99,2.23,4.48,0.74,26.90%,6.00%,20.90%,0.224,1.1,0.294,74.30%,2.87,3.64,-0.77
694,Mason Pennington,SEMO,,70.1,8.7,2.69,3.24,0.77,22.00%,6.80%,15.20%,0.245,1.27,0.305,68.80%,3.97,4.74,-0.78
695,Connor Lockwood,VAL,,93.1,5.69,0.87,6.56,0.67,14.50%,2.20%,12.30%,0.293,1.33,0.33,61.20%,3.86,4.63,-0.78
696,Tommy Brandenburg,WASH,23,45,7.8,3.8,2.05,1,21.30%,10.40%,10.90%,0.232,1.27,0.275,74.00%,4,4.78,-0.78
697,Andrew Cutler,GW,21,59.2,8.15,2.56,3.18,1.21,21.00%,6.60%,14.40%,0.25,1.26,0.294,69.60%,4.68,5.45,-0.78
