year,decade,team,conf,record,SP+,rank,Off. SP+,rank,Def. SP+,rank,ST SP+,rank,pctile,off_pctile,def_pctile,10yr_avg,5yr_avg
1932,1930s,TCU,SWC,10.5-0.5,25.8,3,22,5,-3.7,1,,,98.80%,97.80%,98.50%,61.40%,87.90%
1933,1930s,TCU,SWC,9.5-2.5,15.5,11,15.6,22,0,7,,,92.70%,87.30%,93.40%,69.10%,90.20%
1934,1930s,TCU,SWC,4-Aug,8.9,22,16.1,25,7.1,43,,,80.50%,82.30%,73.10%,75.40%,87.50%
1935,1930s,TCU,SWC,1-Dec,21.6,4,21.5,8,-0.1,3,,,97.70%,95.80%,97.10%,81.00%,89.30%
1936,1930s,TCU,SWC,3-Oct,15.7,8,12.4,56,-3.3,1,,,93.70%,60.50%,99.50%,85.20%,92.70%
1937,1930s,TCU,SWC,5-May,10.9,23,10.9,62,0,4,,,84.30%,56.10%,94.00%,88.80%,89.80%
1938,1930s,TCU,SWC,Nov-00,22.2,2,26.8,1,4.6,13,,,98.80%,99.80%,88.00%,90.60%,91.00%
1939,1930s,TCU,SWC,7-Mar,7.8,28,15.4,26,7.5,37,,,79.90%,80.30%,73.20%,89.20%,90.90%
1940,1940s,TCU,SWC,7-Mar,4.5,44,13.7,58,9.2,27,,,67.30%,52.50%,77.60%,87.10%,84.80%
1941,1940s,TCU,SWC,7.5-3.5,10.9,26,21,19,10.1,48,,,81.70%,88.80%,67.10%,87.50%,82.40%
1942,1940s,TCU,SWC,3-Jul,9.5,27,14.4,58,4.9,10,,,79.60%,56.20%,91.60%,85.60%,81.40%
1943,1940s,TCU,SWC,6-Feb,-8.1,58,8.3,64,16.4,48,,,27.30%,16.20%,49.50%,79.10%,67.10%
1944,1940s,TCU,SWC,7.5-3.5,-0.2,58,8.4,78,8.6,18,,,49.40%,19.20%,83.40%,76.00%,61.00%
1945,1940s,TCU,SWC,5-May,-7.2,76,6.6,95,13.8,47,,,28.30%,12.90%,59.10%,69.00%,53.30%
1946,1940s,TCU,SWC,2.5-7.5,-2.7,72,8.5,108,11.3,31,,,40.70%,14.50%,75.20%,63.70%,45.10%
1947,1940s,TCU,SWC,6-May,9.4,28,12.7,78,3.3,8,,,77.10%,34.10%,95.20%,63.00%,44.60%
1948,1940s,TCU,SWC,4.5-5.5,4,49,14,86,10,22,,,62.50%,31.20%,85.60%,59.40%,51.60%
1949,1940s,TCU,SWC,6.5-3.5,9.5,28,22.8,43,13.3,27,,,77.30%,67.70%,80.70%,59.10%,57.20%
1950,1950s,TCU,SWC,5-May,7.7,39,18.6,58,10.9,25,,,72.80%,51.10%,81.80%,59.70%,66.10%
1951,1950s,TCU,SWC,5-Jun,10,26,20.7,42,10.7,17,,,79.70%,59.80%,87.90%,59.50%,73.90%
1952,1950s,TCU,SWC,5-May,4,45,14.3,84,10.3,20,,,62.30%,31.30%,85.20%,57.70%,70.90%
1953,1950s,TCU,SWC,7-Mar,2.6,47,13.1,85,10.5,23,,,58.90%,28.20%,81.30%,60.90%,70.20%
1954,1950s,TCU,SWC,6-Apr,6.4,40,18.1,51,11.7,31,,,70.00%,55.10%,76.10%,63.00%,68.80%
1955,1950s,TCU,SWC,2-Sep,21.3,4,26.9,4,5.6,6,,,96.90%,97.00%,93.80%,69.80%,73.60%
1956,1950s,TCU,SWC,3-Aug,14.3,14,23.4,16,9.1,24,,,90.20%,87.20%,84.50%,74.80%,75.70%
1957,1950s,TCU,SWC,5.5-4.5,9.4,22,15.7,48,6.3,11,,,81.50%,53.30%,91.50%,75.20%,79.50%
1958,1950s,TCU,SWC,8.5-2.5,16.9,9,23.3,13,6.4,12,,,93.30%,91.00%,90.30%,78.30%,86.40%
1959,1950s,TCU,SWC,3-Aug,14.5,13,14.7,62,0.2,3,,,90.30%,44.20%,98.30%,79.60%,90.40%
1960,1960s,TCU,SWC,5-May,7.8,37,11.2,90,3.3,7,,,74.40%,23.70%,94.30%,79.80%,85.90%
1961,1960s,TCU,SWC,6-Apr,-1.1,60,14,64,15.1,56,,,46.10%,38.00%,55.30%,76.40%,77.10%
1962,1960s,TCU,SWC,4-Jun,2.7,49,16.5,64,13.8,38,,,60.10%,50.80%,66.30%,76.20%,72.80%
1963,1960s,TCU,SWC,4.5-5.5,2.1,55,15.8,59,13.7,48,,,58.40%,51.90%,61.50%,76.10%,65.80%
1964,1960s,TCU,SWC,6-Apr,-3.3,76,11,97,14.3,58,,,36.10%,22.60%,54.70%,72.70%,55.00%
1965,1960s,TCU,SWC,5-Jun,1.5,59,16.4,61,14.9,50,,,56.40%,46.70%,65.40%,68.70%,51.40%
1966,1960s,TCU,SWC,8-Feb,-6.7,90,5,118,11.7,24,,,26.30%,2.30%,79.30%,62.30%,47.50%
1967,1960s,TCU,SWC,6-Apr,-8.5,97,9.1,115,17.5,55,,,20.10%,7.60%,54.50%,56.10%,39.50%
1968,1960s,TCU,SWC,7-Mar,-4.5,80,17.6,91,22.1,61,,,35.20%,26.40%,50.90%,50.30%,34.80%
1969,1960s,TCU,SWC,6-Apr,-5.5,81,17.1,85,22.6,62,,,34.40%,28.70%,46.10%,44.70%,34.50%
1970,1970s,TCU,SWC,4.5-6.5,1.3,60,20.2,63,18.9,55,,,53.80%,46.50%,60.90%,42.70%,34.00%
1971,1970s,TCU,SWC,6.5-4.5,0.2,56,18.7,69,18.6,50,,,50.50%,42.60%,59.90%,43.10%,38.80%
1972,1970s,TCU,SWC,6-May,2.7,49,22.4,52,19.7,55,,,58.70%,60.00%,54.50%,43.00%,46.50%
1973,1970s,TCU,SWC,8-Mar,-6.7,94,18.4,86,25.1,95,,,30.50%,36.90%,30.60%,40.20%,45.60%
1974,1970s,TCU,SWC,10-Jan,-17.2,126,6.6,133,23.8,94,,,8.00%,3.40%,26.20%,37.40%,40.30%
1975,1970s,TCU,SWC,10-Jan,-16.3,130,10.7,135,27,123,,,8.90%,8.60%,16.50%,32.60%,31.30%
1976,1970s,TCU,SWC,0-11,-18.6,140,14.3,113,32.9,141,,,4.90%,21.70%,2.30%,30.50%,22.20%
1977,1970s,TCU,SWC,9-Feb,-18,141,18.9,89,36.9,149,,,7.10%,40.70%,1.50%,29.20%,11.90%
1978,1970s,TCU,SWC,9-Feb,-15.3,133,11.4,133,26.6,120,,,8.90%,9.10%,15.90%,26.60%,7.60%
1979,1970s,TCU,SWC,2.5-8.5,-7.8,112,11.6,129,19.4,73,,,23.70%,11.30%,51.10%,25.50%,10.70%
1980,1980s,TCU,SWC,10-Jan,-10.7,113,13.2,123,23.9,92,,,19.30%,13.20%,34.40%,22.00%,12.80%
1981,1980s,TCU,SWC,8-Mar,-5.8,91,21.5,59,27.3,122,,,30.90%,58.50%,14.00%,20.10%,18.00%
1982,1980s,TCU,SWC,8-Mar,-5.4,77,18.7,78,24.2,76,,,33.30%,35.30%,36.30%,17.60%,23.20%
1983,1980s,TCU,SWC,9-Feb,-6.1,80,14.3,99,20.4,54,,,30.50%,15.20%,58.20%,17.60%,27.50%
1984,1980s,TCU,SWC,4-Aug,6.5,38,32,15,25.6,76,,,72.50%,90.10%,33.80%,24.00%,37.30%
1985,1980s,TCU,SWC,8-Mar,-11.4,93,17.9,78,29.3,89,,,17.50%,27.60%,17.30%,24.90%,36.90%
1986,1980s,TCU,SWC,8-Mar,-10,79,23,49,33,96,,,23.00%,53.00%,8.60%,26.70%,35.40%
1987,1980s,TCU,SWC,6-May,3.2,39,25,45,21.8,44,,,59.10%,60.50%,55.90%,31.90%,40.50%
1988,1980s,TCU,SWC,7-Apr,-4.4,67,19.4,72,23.8,58,,,38.00%,31.40%,48.50%,34.80%,42.00%
1989,1980s,TCU,SWC,7-Apr,-8,77,19.5,74,27.5,69,,,28.80%,28.30%,36.20%,35.30%,33.30%
1990,1990s,TCU,SWC,6-May,-4.6,68,28.3,33,32.9,90,,,36.50%,70.00%,15.50%,37.00%,37.10%
1991,1990s,TCU,SWC,4-Jul,1.8,48,24.3,44,22.5,56,,,54.90%,59.70%,48.90%,39.40%,43.50%
1992,1990s,TCU,SWC,2.5-8.5,-13.9,94,18.5,76,32.5,92,,,13.30%,28.50%,11.80%,37.40%,34.30%
1993,1990s,TCU,SWC,7-Apr,-8.6,79,19,79,27.6,67,,,26.90%,25.70%,35.40%,37.10%,32.10%
1994,1990s,TCU,SWC,5-Jul,1.1,51,25.2,49,24.1,54,,,53.10%,55.40%,49.40%,35.10%,36.90%
1995,1990s,TCU,SWC,5-Jun,-3.3,64,19,82,22.4,51,,,40.70%,24.60%,61.40%,37.40%,37.80%
1996,1990s,TCU,WAC,7-Apr,-14.7,93,16.2,95,30.9,75,,,16.50%,13.50%,28.30%,36.80%,30.10%
1997,1990s,TCU,WAC,10-Jan,-21.6,104,10.2,110,31.8,85,,,7.60%,2.80%,24.70%,31.60%,29.00%
1998,1990s,TCU,WAC,5-Jul,-2.6,58,18,92,20.6,35,,,42.80%,19.40%,69.70%,32.10%,32.20%
1999,1990s,TCU,WAC,4-Aug,2.7,51,28.3,39,25.7,62,,,57.60%,66.80%,47.10%,35.00%,33.10%
2000,2000s,TCU,WAC,2-Oct,16.2,13,30.6,32,14.4,6,,,86.10%,71.20%,92.40%,40.00%,42.20%
2001,2000s,TCU,C-USA,6-Jun,-0.5,64,25.3,70,25.7,55,,,48.70%,42.60%,54.00%,39.30%,48.60%
2002,2000s,TCU,C-USA,2-Oct,6.1,49,27.8,52,21.7,39,,,65.80%,56.60%,69.30%,44.60%,60.20%
2003,2000s,TCU,C-USA,2-Nov,1.8,55,26,62,24.2,55,,,54.60%,48.90%,58.70%,47.40%,62.60%
2004,2000s,TCU,C-USA,6-May,-1.7,66,34.8,15,36.6,96,,,45.10%,88.00%,16.30%,46.60%,60.10%
2005,2000s,TCU,MWC,1-Nov,11.1,28,32.2,28,21.1,35,,,77.20%,74.20%,73.20%,50.20%,58.30%
2006,2000s,TCU,MWC,2-Nov,14.8,25,24.9,47,10.9,12,0.8,37,82.90%,59.80%,91.60%,56.80%,65.10%
2007,2000s,TCU,MWC,5-Aug,6.1,50,22.6,86,17.5,14,1,29,64.60%,23.40%,87.70%,62.50%,64.90%
2008,2000s,TCU,MWC,2-Nov,18.6,14,30.1,33,12,11,0.5,45,89.40%,69.90%,92.30%,67.20%,71.80%
2009,2000s,TCU,MWC,1-Dec,22.7,6,34.5,19,12.8,11,1,29,93.00%,87.50%,91.30%,70.70%,81.40%
2010,2010s,TCU,MWC,13-0,25.2,7,38.9,12,15.3,10,1.6,15,94.00%,90.50%,90.90%,71.50%,84.80%
2011,2010s,TCU,MWC,2-Nov,20.4,10,39.8,12,20.7,28,1.3,24,91.30%,92.40%,76.20%,75.80%,86.50%
2012,2010s,TCU,Big 12,6-Jul,13.1,29,33.5,37,22.4,30,2,11,80.70%,70.60%,75.20%,77.30%,89.70%
2013,2010s,TCU,Big 12,8-Apr,9.1,42,26.6,70,20,25,2.5,3,69.70%,44.50%,80.20%,78.80%,85.80%
2014,2010s,TCU,Big 12,1-Dec,28.1,3,44.4,5,17.8,16,1.5,16,96.40%,96.20%,88.30%,83.90%,86.40%
2015,2010s,TCU,Big 12,2-Nov,19.1,12,46.3,4,27.1,56,-0.1,71,89.70%,97.90%,54.40%,85.20%,85.60%
2016,2010s,TCU,Big 12,7-Jun,5.7,52,32.6,49,26.7,51,-0.1,71,65.60%,66.20%,61.10%,83.50%,80.40%
2017,2010s,TCU,Big 12,3-Nov,18.7,14,34.8,23,18,22,1.9,9,89.50%,81.30%,85.20%,85.90%,82.20%
2018,2010s,TCU,Big 12,6-Jul,4,52,25.1,86,19.3,22,-1.8,115,60.90%,36.10%,83.70%,83.10%,80.40%
2019,2010s,TCU,Big 12,7-May,7.6,43,31.2,46,24.4,46,0.8,40,68.50%,66.90%,63.70%,80.60%,74.80%
2020,2020s,TCU,Big 12,4-Jun,9.3,32,32.4,43,23.2,30,0.1,51,76.50%,66.80%,79.20%,78.90%,72.20%
2021,2020s,TCU,Big 12,7-May,-1.9,78,31.8,35,33.8,104,0.1,63,44.60%,75.50%,20.90%,74.20%,68.00%
2022,2020s,TCU,Big 12,13-2,18.9,9,40.6,10,22.7,39,1,30,91.00%,93.20%,71.00%,75.20%,68.30%
1930,1930s,Temple,Indies,3-Jul,4.3,46,17.2,23,12.9,74,,,63.40%,80.30%,39.60%,,
1931,1930s,Temple,Indies,8.5-1.5,8.9,30,14.3,34,5.4,28,,,77.30%,68.60%,81.10%,,
1932,1930s,Temple,Indies,2-Jun,6.3,42,11.8,51,5.6,39,,,71.00%,63.40%,75.00%,,
1933,1930s,Temple,Indies,3-May,1.6,63,13.4,31,11.9,94,,,55.80%,77.10%,35.30%,,
1934,1930s,Temple,Indies,2-Aug,11.3,17,18.9,13,7.6,48,,,86.00%,92.10%,70.00%,,70.70%
1935,1930s,Temple,Indies,3-Jul,9.4,25,17.4,20,7.9,47,,,81.00%,86.00%,67.90%,,74.20%
1936,1930s,Temple,Indies,4-Jul,-0.4,75,6.8,101,7.2,36,,,48.60%,24.50%,74.60%,,68.50%
1937,1930s,Temple,Indies,4-May,-4.4,89,1.8,124,6.2,42,,,34.30%,8.20%,72.00%,,61.10%
1938,1930s,Temple,Indies,3.5-6.5,-10.1,107,7.6,96,17.7,114,,,15.30%,25.10%,12.70%,,53.00%
1939,1930s,Temple,Indies,7-Feb,-9.4,111,4.8,118,14.2,100,,,15.70%,11.20%,28.40%,54.80%,39.00%
1940,1940s,Temple,Indies,4.5-4.5,-5.9,93,11.3,83,17.2,97,,,27.90%,35.70%,24.10%,51.30%,28.30%
1941,1940s,Temple,Indies,2-Jul,-0.5,67,17.2,35,17.7,93,,,48.20%,73.80%,24.60%,48.40%,28.30%
1942,1940s,Temple,Indies,3.5-6.5,-12.9,114,2.4,128,15.3,86,,,13.10%,5.30%,37.70%,42.60%,24.00%
1943,1940s,Temple,Indies,6-Feb,-11.2,67,5.6,76,16.8,52,,,20.10%,9.30%,47.00%,39.00%,25.00%
1944,1940s,Temple,Indies,5-Mar,-14.7,84,4.5,97,19.2,72,,,17.00%,9.50%,34.30%,32.10%,25.30%
1945,1940s,Temple,Indies,1-Jul,1.8,45,13.1,59,11.3,28,,,55.60%,39.10%,73.20%,29.60%,30.80%
1946,1940s,Temple,Indies,5-Mar,-10.3,106,7.5,116,17.7,73,,,19.00%,11.10%,37.70%,26.60%,25.00%
1947,1940s,Temple,Indies,6-Mar,-14.4,108,6.7,111,21,92,,,12.80%,9.80%,22.10%,24.50%,24.90%
1948,1940s,Temple,Indies,2.5-6.5,-15.4,109,7.5,116,22.9,98,,,10.90%,8.50%,22.80%,24.00%,23.10%
1949,1940s,Temple,Indies,4-May,-8.6,92,13.2,101,21.8,76,,,24.90%,17.90%,38.20%,25.00%,24.60%
1950,1950s,Temple,Indies,4.5-4.5,-3.7,82,16.3,77,19.9,75,,,38.70%,37.60%,42.90%,26.00%,21.30%
1951,1950s,Temple,Indies,4-Jun,-5.1,83,15,91,20.1,66,,,33.50%,27.00%,44.10%,24.60%,24.20%
1952,1950s,Temple,Indies,2.5-7.5,-17.8,111,8.5,108,26.3,109,,,8.00%,9.40%,11.10%,24.00%,23.20%
1953,1950s,Temple,Indies,0-4,-25.6,113,4,112,29.6,110,,,1.30%,2.00%,3.00%,22.20%,21.30%
1954,1950s,Temple,Indies,3-Jan,-17.5,105,6.5,110,24,95,,,7.70%,6.80%,19.20%,21.20%,17.80%
1970,1970s,Temple,Indies,1-Mar,1.8,58,21.9,55,20.1,64,,,55.20%,54.80%,54.60%,,
1971,1970s,Temple,Indies,6.5-2.5,7.3,30,24.7,26,17.4,45,,,71.80%,71.30%,66.80%,,
1972,1970s,Temple,Indies,4-May,-0.4,63,18.8,68,19.1,53,,,48.90%,39.90%,57.20%,,
1973,1970s,Temple,Indies,1-Sep,10.1,26,29.1,22,19,50,,,77.90%,83.60%,60.80%,,
1974,1970s,Temple,Indies,2-Aug,13.6,18,29.8,10,16.2,40,,,86.60%,92.30%,69.60%,,68.10%
1975,1970s,Temple,Indies,5-Jun,5.1,48,26.1,30,21,80,,,66.20%,82.30%,43.70%,,70.30%
1976,1970s,Temple,Indies,6-Apr,-0.5,76,20.9,53,21.4,86,,,48.30%,56.70%,40.10%,,65.60%
1977,1970s,Temple,Indies,5.5-5.5,-1.6,87,22.6,55,24.2,105,,,44.90%,60.40%,31.90%,,64.80%
1978,1970s,Temple,Indies,7.5-3.5,3.7,55,23.1,47,19.4,65,,,62.80%,65.50%,56.30%,,61.80%
1979,1970s,Temple,Indies,2-Oct,14.5,15,31.2,7,16.7,46,,,90.80%,96.10%,66.80%,65.40%,62.60%
1980,1980s,Temple,Indies,7-Apr,-8.8,106,16.3,105,25.2,101,,,23.70%,25.20%,28.40%,62.20%,54.10%
1981,1980s,Temple,Indies,5-May,-1.4,76,19.7,68,21.1,76,,,45.20%,48.30%,43.60%,59.50%,53.50%
1982,1980s,Temple,Indies,7-Apr,-7.7,83,15.7,91,23.5,71,,,27.00%,22.10%,40.10%,57.30%,49.90%
1983,1980s,Temple,Indies,7-Apr,-10,96,14,101,24.1,74,,,20.10%,14.30%,38.90%,51.60%,41.40%
1984,1980s,Temple,Indies,5-Jun,-1.3,63,17.9,85,19.3,33,,,45.10%,23.60%,72.80%,47.40%,32.20%
1985,1980s,Temple,Indies,7-Apr,-5.2,67,18.4,74,23.6,68,,,33.50%,30.40%,40.70%,44.10%,34.20%
1986,1980s,Temple,Indies,5-Jun,-4.8,65,24.6,41,29.4,87,,,36.00%,61.90%,18.20%,42.90%,32.30%
1987,1980s,Temple,Indies,8-Mar,-17.9,98,11.5,102,29.4,80,,,10.20%,6.20%,22.50%,39.40%,29.00%
1988,1980s,Temple,Indies,7-Apr,-17.5,94,15.5,90,33,90,,,11.30%,17.40%,14.20%,34.30%,27.20%
1989,1980s,Temple,Indies,10-Jan,-25.5,104,12.4,100,37.8,99,,,3.80%,8.00%,6.50%,25.60%,19.00%
1990,1990s,Temple,Indies,4-Jul,-7.3,76,22.5,61,29.8,83,,,29.40%,40.80%,26.00%,26.20%,18.10%
1991,1990s,Temple,Big East,9-Feb,-13.2,84,11.5,93,24.7,65,,,18.60%,10.10%,39.50%,23.50%,14.60%
1992,1990s,Temple,Big East,10-Jan,-22.2,102,13.8,95,36,102,,,3.90%,11.70%,5.30%,21.20%,13.40%
1993,1990s,Temple,Big East,10-Jan,-28.1,106,14,96,42,105,,,2.20%,10.40%,1.80%,19.40%,11.60%
1994,1990s,Temple,Big East,9-Feb,-16.7,93,18.1,78,34.8,101,,,11.60%,24.80%,7.60%,16.00%,13.10%
1995,1990s,Temple,Big East,10-Jan,-16.7,94,17.7,86,34.3,91,,,12.00%,19.90%,13.80%,13.90%,9.70%
1996,1990s,Temple,Big East,10-Jan,-15.1,94,19.5,83,34.6,94,,,15.80%,23.60%,16.90%,11.90%,9.10%
1997,1990s,Temple,Big East,8-Mar,-13.2,86,19.4,84,32.6,86,,,19.20%,22.60%,22.20%,12.80%,12.20%
1998,1990s,Temple,Big East,9-Feb,-14.2,96,18.5,85,32.7,88,,,16.50%,21.30%,19.80%,13.30%,15.00%
1999,1990s,Temple,Big East,9-Feb,-14.1,95,16.6,101,30.6,85,,,15.40%,12.70%,24.70%,14.50%,15.80%
2000,2000s,Temple,Big East,7-Apr,-2.3,69,21.7,80,24.1,54,,,43.80%,32.80%,58.20%,15.90%,22.10%
2001,2000s,Temple,Big East,7-Apr,-5.9,81,18,103,23.9,49,,,33.70%,12.40%,61.60%,17.40%,25.70%
2002,2000s,Temple,Big East,8-Apr,-8.4,76,21,87,29.4,70,,,28.90%,24.60%,37.80%,19.90%,27.70%
2003,2000s,Temple,Big East,11-Jan,-13.2,93,17.9,95,31,79,,,19.00%,16.10%,29.70%,21.60%,28.20%
2004,2000s,Temple,Big East,9-Feb,-13,101,20.8,92,33.8,89,,,17.60%,23.20%,23.50%,22.20%,28.60%
2005,2000s,Temple,Indies,0-11,-36.6,119,8.1,117,44.7,118,,,0.70%,2.60%,1.20%,21.10%,20.00%
2006,2000s,Temple,Indies,11-Jan,-41.5,119,4.7,117,43.8,119,-2.3,116,0.40%,1.90%,0.70%,19.50%,13.30%
2007,2000s,Temple,MAC,8-Apr,-27,116,11.4,119,36.3,85,-2.2,115,4.70%,2.40%,23.60%,18.10%,8.50%
2008,2000s,Temple,MAC,7-May,-8.9,86,18.3,96,26.7,67,-0.5,79,27.50%,22.60%,43.80%,19.20%,10.20%
2009,2000s,Temple,MAC,4-Sep,-4.4,73,24.4,72,28.3,72,-0.5,76,38.90%,41.20%,40.90%,21.50%,14.40%
2010,2010s,Temple,MAC,4-Aug,-6.1,79,21,92,26.4,58,-0.6,85,35.40%,23.40%,54.10%,20.70%,21.40%
2011,2010s,Temple,MAC,4-Sep,7,40,29,41,22.7,39,0.7,36,68.00%,59.00%,68.50%,24.10%,34.90%
2012,2010s,Temple,Big East,7-Apr,-6.7,80,21.3,95,30.7,69,2.8,1,32.90%,19.40%,41.90%,24.50%,40.50%
2013,2010s,Temple,AAC,10-Feb,-8.7,85,23.3,86,30.7,81,-1.3,101,31.20%,31.70%,38.80%,25.70%,41.20%
2014,2010s,Temple,AAC,6-Jun,-7.7,87,15.3,119,21.4,30,-1.6,116,31.10%,7.60%,78.30%,27.10%,39.70%
2015,2010s,Temple,AAC,4-Oct,6.8,47,29.8,59,23.2,39,0.2,62,67.30%,57.30%,69.80%,33.70%,46.10%
2016,2010s,Temple,AAC,4-Oct,11.6,28,32.4,50,21,22,0.2,62,79.10%,65.60%,82.60%,41.60%,48.30%
2017,2010s,Temple,AAC,6-Jul,-0.7,71,29.8,48,29.9,78,-0.5,87,48.20%,61.10%,39.20%,45.90%,51.40%
2018,2010s,Temple,AAC,5-Aug,0.5,68,31.7,35,30,77,-1.3,106,51.30%,67.90%,41.00%,48.30%,55.40%
2019,2010s,Temple,AAC,5-Aug,-0.8,64,25,82,25.1,50,-0.6,81,48.10%,37.40%,60.70%,49.20%,58.80%
2020,2020s,Temple,AAC,6-Jan,-15.3,116,20.9,108,35.8,107,-0.3,115,11.70%,15.50%,17.50%,46.90%,47.70%
2021,2020s,Temple,AAC,9-Mar,-23.5,124,15.5,123,36.4,111,-2.5,126,5.00%,5.70%,13.20%,40.60%,32.80%
2022,2020s,Temple,AAC,9-Mar,-11.4,101,21.1,93,31.9,97,-0.5,85,21.10%,26.90%,24.50%,39.40%,27.40%
1902,1900s,Tennessee,Indies,2-Jun,0.5,39,10.6,39,10.1,39,,,51.60%,50.80%,52.90%,,
1903,1900s,Tennessee,Indies,5-Apr,-10.6,61,2.9,64,13.5,53,,,21.60%,18.10%,36.00%,,
1904,1900s,Tennessee,Indies,3.5-5.5,-11.6,64,0.1,75,11.7,50,,,25.70%,14.40%,49.80%,,
1905,1900s,Tennessee,Indies,3.5-5.5,-14.5,67,2.7,71,17.2,71,,,19.30%,17.30%,25.00%,,
1906,1900s,Tennessee,Indies,7-Feb,-21.3,67,-5.6,68,15.6,63,,,3.70%,5.00%,6.30%,,24.40%
1907,1900s,Tennessee,Indies,7.5-2.5,1.2,39,8.3,46,7.1,19,,,53.80%,32.40%,77.30%,,24.80%
1908,1900s,Tennessee,Indies,2-Jul,2.2,38,7.2,48,5.1,17,,,59.20%,35.60%,79.50%,,32.40%
1909,1900s,Tennessee,Indies,7-Feb,-12.1,67,-2,74,10.1,51,,,9.30%,2.60%,40.40%,,29.10%
1910,1910s,Tennessee,Indies,3.5-5.5,-15.3,64,2.2,62,17.5,64,,,11.10%,12.10%,13.50%,,27.40%
1911,1910s,Tennessee,Indies,5-Apr,-12.8,67,1.1,65,13.9,65,,,13.00%,14.00%,15.30%,26.80%,29.30%
1912,1910s,Tennessee,Indies,4-Apr,-3.2,50,12.6,41,15.8,56,,,39.90%,49.50%,30.40%,25.70%,26.50%
1913,1910s,Tennessee,Indies,3-Jun,4,35,12.4,42,8.3,24,,,61.40%,46.80%,73.60%,29.60%,26.90%
1914,1910s,Tennessee,Indies,Sep-00,19,12,24.5,9,5.4,17,,,89.30%,91.00%,83.20%,36.00%,42.90%
1915,1910s,Tennessee,Indies,4-Apr,8.8,29,17.3,30,8.5,34,,,71.10%,65.80%,73.80%,41.20%,55.00%
1916,1910s,Tennessee,Indies,8.5-0.5,15.6,17,18.7,34,3.1,7,,,81.40%,69.50%,87.80%,49.00%,68.60%
1919,1910s,Tennessee,Indies,4.5-4.5,-4.2,69,5,76,9.1,55,,,36.10%,23.80%,54.50%,,
1920,1920s,Tennessee,Indies,2-Jul,14.5,21,20.4,19,5.9,30,,,81.60%,82.20%,75.80%,,
1921,1920s,Tennessee,Southern,6.5-2.5,12.6,22,14.9,33,2.3,11,,,81.50%,65.70%,89.60%,,
1922,1920s,Tennessee,Southern,2-Aug,23,10,26,8,3,27,,,91.50%,95.10%,82.60%,,
1923,1920s,Tennessee,Southern,5.5-4.5,-3.4,75,8.1,73,11.4,69,,,40.80%,34.00%,48.10%,,66.30%
1924,1920s,Tennessee,Southern,5-Mar,-6.7,86,8.9,62,15.6,95,,,29.30%,44.70%,18.90%,,64.90%
1925,1920s,Tennessee,Southern,5.5-2.5,-0.4,61,11.6,47,12,79,,,48.90%,56.40%,41.20%,,58.40%
1926,1920s,Tennessee,Southern,1-Aug,7.6,33,13.2,36,5.5,24,,,73.90%,64.90%,78.10%,,56.90%
1927,1920s,Tennessee,Southern,8.5-0.5,17.3,4,21.1,10,3.7,5,,,94.00%,92.50%,90.00%,,57.40%
1928,1920s,Tennessee,Southern,9.5-0.5,17.7,5,22.4,6,4.7,17,,,92.90%,95.00%,82.70%,67.00%,67.80%
1929,1920s,Tennessee,Southern,9.5-0.5,22.1,3,24.3,9,2.3,6,,,95.90%,94.70%,92.10%,73.00%,81.10%
1930,1930s,Tennessee,Southern,1-Sep,19.1,8,20.1,11,1,4,,,93.70%,89.60%,92.70%,74.20%,90.10%
1931,1930s,Tennessee,Southern,8.5-0.5,23,4,25.1,6,2.1,7,,,97.30%,98.10%,91.80%,75.80%,94.80%
1932,1930s,Tennessee,Southern,9.5-0.5,21.6,4,22.6,4,1.1,8,,,97.10%,98.30%,91.90%,76.40%,95.40%
1933,1930s,Tennessee,SEC,3-Jul,18.3,5,20.8,2,2.5,20,,,95.60%,98.30%,86.50%,81.90%,95.90%
1934,1930s,Tennessee,SEC,2-Aug,18.1,5,22.1,5,4,15,,,95.90%,97.50%,87.50%,88.50%,95.90%
1935,1930s,Tennessee,SEC,5-Apr,2.4,63,16.6,24,14.2,107,,,58.80%,83.10%,26.00%,89.50%,89.00%
1936,1930s,Tennessee,SEC,3-Jul,10.3,17,16.6,22,6.3,26,,,84.40%,84.00%,79.60%,90.60%,86.40%
1937,1930s,Tennessee,SEC,6.5-3.5,14.5,13,18.2,12,3.6,25,,,91.00%,92.00%,83.80%,90.30%,85.20%
1938,1930s,Tennessee,SEC,Nov-00,24.1,1,25.1,2,1,2,,,99.30%,99.50%,96.40%,90.90%,85.90%
1939,1930s,Tennessee,SEC,1-Oct,24.4,1,21.6,7,-2.8,1,,,99.50%,98.10%,99.30%,91.30%,86.60%
1940,1940s,Tennessee,SEC,1-Oct,25.4,1,28.2,1,2.8,2,,,99.40%,99.60%,97.40%,91.90%,94.70%
1941,1940s,Tennessee,SEC,2-Aug,20.8,5,22.4,13,1.6,2,,,95.80%,92.60%,95.50%,91.70%,97.00%
1942,1940s,Tennessee,SEC,9.5-1.5,22.9,3,25.2,7,2.3,2,,,97.60%,95.80%,96.50%,91.70%,98.30%
1944,1940s,Tennessee,SEC,7.5-1.5,12,25,19.6,35,7.6,16,,,78.20%,65.50%,86.50%,,
1945,1940s,Tennessee,SEC,1-Aug,20.3,8,26.7,9,6.3,8,,,94.80%,93.40%,92.10%,,
