"","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","ot","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"7472","Eastern MichiganCentral Michigan1-27",2026-01-27,"conf","Central Michigan","Eastern Michigan","MAC","MAC","H","W","100-65",0.400127042461597,0.273536383501437,0.885145582503505,0.953418056709473,0.0465819432905266,86.4,"played",0,NA,NA,NA,240,"Q4"
"7473","Eastern MichiganCentral Michigan1-27",2026-01-27,"conf","Eastern Michigan","Central Michigan","MAC","MAC","A","L","65-100",0.273536383501437,0.400127042461597,0.801873422330219,0.858511356520847,-0.858511356520847,3.8,"played",0,NA,NA,NA,280,"Q4"
"7474","George WashingtonSaint Louis1-27",2026-01-27,"conf","George Washington","Saint Louis","A10","A10","A","L","76-79",0.666360810287085,0.898763539549484,0.801873422330219,0.313132207927848,-0.313132207927848,91,"played",0,NA,NA,NA,27,"Q1A"
"7475","George WashingtonSaint Louis1-27",2026-01-27,"conf","Saint Louis","George Washington","A10","A10","H","W","79-76",0.898763539549484,0.666360810287085,0.885145582503505,0.794181219757797,0.205818780242203,63.7,"played",0,NA,NA,NA,90,"Q3"
"7476","Georgia TechVirginia Tech1-27",2026-01-27,"conf","Georgia Tech","Virginia Tech","ACC","ACC","A","L","65-71",0.428184453073191,0.863071641252581,0.801873422330219,0.391027509372754,-0.391027509372754,65.7,"played",0,NA,NA,NA,53,"Q1"
"7477","Georgia TechVirginia Tech1-27",2026-01-27,"conf","Virginia Tech","Georgia Tech","ACC","ACC","H","W","71-65",0.863071641252581,0.428184453073191,0.885145582503505,0.911440295667685,0.0885597043323149,71.1,"played",0,NA,NA,NA,167,"Q4"
"7478","Grand CanyonNevada1-27",2026-01-27,"conf","Grand Canyon","Nevada","MWC","MWC","A","L","60-66",0.762899218029947,0.796993366209278,0.801873422330219,0.507608653181988,-0.507608653181988,73.5,"played",1,NA,NA,NA,73,"Q1"
"7479","Grand CanyonNevada1-27",2026-01-27,"conf","Nevada","Grand Canyon","MWC","MWC","H","W","66-60",0.796993366209278,0.762899218029947,0.885145582503505,0.705462252381242,0.294537747618758,82,"played",1,NA,NA,NA,68,"Q2"
"7480","Incarnate WordHouston Christian1-27",2026-01-27,"conf","Houston Christian","Incarnate Word","Slnd","Slnd","H","W","81-75",0.271382273572931,0.216861368433618,0.885145582503505,0.965314699387251,0.0346853006127488,22.1,"played",0,NA,NA,NA,278,"Q4"
"7481","Incarnate WordHouston Christian1-27",2026-01-27,"conf","Incarnate Word","Houston Christian","Slnd","Slnd","A","L","75-81",0.216861368433618,0.271382273572931,0.801873422330219,0.915727670397345,-0.915727670397345,26.6,"played",0,NA,NA,NA,294,"Q4"
"7482","Indiana St.Illinois Chicago1-27",2026-01-27,"conf","Illinois Chicago","Indiana St.","MVC","MVC","H","W","76-74",0.721652555738016,0.349079948927767,0.885145582503505,0.934940009373969,0.0650599906260311,68.2,"played",0,NA,NA,NA,215,"Q4"
"7483","Indiana St.Illinois Chicago1-27",2026-01-27,"conf","Indiana St.","Illinois Chicago","MVC","MVC","A","L","74-76",0.349079948927767,0.721652555738016,0.801873422330219,0.609538084502267,-0.609538084502267,39.4,"played",0,NA,NA,NA,113,"Q2"
"7484","Kansas St.West Virginia1-27",2026-01-27,"conf","Kansas St.","West Virginia","B12","B12","A","L","54-59",0.594235121048885,0.841785636079539,0.801873422330219,0.432040719400948,-0.432040719400948,75.9,"played",0,NA,NA,NA,58,"Q1"
"7485","Kansas St.West Virginia1-27",2026-01-27,"conf","West Virginia","Kansas St.","B12","B12","H","W","59-54",0.841785636079539,0.594235121048885,0.885145582503505,0.840316590268724,0.159683409731276,71.2,"played",0,NA,NA,NA,99,"Q3"
"7486","KentuckyVanderbilt1-27",2026-01-27,"conf","Kentucky","Vanderbilt","SEC","SEC","A","L","55-80",0.844332988037429,0.952268978333873,0.801873422330219,0.168650558729322,-0.168650558729322,20.5,"played",0,NA,NA,NA,16,"Q1A"
"7487","KentuckyVanderbilt1-27",2026-01-27,"conf","Vanderbilt","Kentucky","SEC","SEC","H","W","80-55",0.952268978333873,0.844332988037429,0.885145582503505,0.586922843673756,0.413077156326244,99.8,"played",0,NA,NA,NA,28,"Q1"
"7488","MassachusettsMiami OH1-27",2026-01-27,"conf","Massachusetts","Miami OH","MAC","MAC","A","L","84-86",0.405352117959499,0.78977657097211,0.801873422330219,0.518607774598621,-0.518607774598621,79.3,"played",0,NA,NA,NA,55,"Q1"
"7489","MassachusettsMiami OH1-27",2026-01-27,"conf","Miami OH","Massachusetts","MAC","MAC","H","W","86-84",0.78977657097211,0.405352117959499,0.885145582503505,0.918736325569259,0.0812636744307413,40,"played",0,NA,NA,NA,203,"Q4"
"7490","McNeese St.Southeastern Louisiana1-27",2026-01-27,"conf","McNeese St.","Southeastern Louisiana","Slnd","Slnd","A","W","76-66",0.675486317377477,0.298669080857043,0.801873422330219,0.904796064560499,0.0952039354395015,72.5,"played",0,NA,NA,NA,296,"Q4"
"7491","McNeese St.Southeastern Louisiana1-27",2026-01-27,"conf","Southeastern Louisiana","McNeese St.","Slnd","Slnd","H","L","66-76",0.298669080857043,0.675486317377477,0.885145582503505,0.78734268055476,-0.78734268055476,25.2,"played",0,NA,NA,NA,62,"Q2"
"7492","Michigan St.Rutgers1-27",2026-01-27,"conf","Michigan St.","Rutgers","B10","B10","A","W","88-79",0.925204731054117,0.68310819228837,0.801873422330219,0.652478537634501,0.347521462365499,71.9,"played",1,NA,NA,NA,143,"Q3"
"7493","Michigan St.Rutgers1-27",2026-01-27,"conf","Rutgers","Michigan St.","B10","B10","H","L","79-88",0.68310819228837,0.925204731054117,0.885145582503505,0.383865353988256,-0.383865353988256,91.3,"played",1,NA,NA,NA,11,"Q1A"
"7494","MissouriAlabama1-27",2026-01-27,"conf","Alabama","Missouri","SEC","SEC","H","W","90-64",0.951766392311662,0.802374391702904,0.885145582503505,0.654953667631133,0.345046332368867,98.8,"played",0,NA,NA,NA,60,"Q2"
"7495","MissouriAlabama1-27",2026-01-27,"conf","Missouri","Alabama","SEC","SEC","A","L","64-90",0.802374391702904,0.951766392311662,0.801873422330219,0.170198808941889,-0.170198808941889,49.9,"played",0,NA,NA,NA,17,"Q1A"
"7496","NebraskaMichigan1-27",2026-01-27,"conf","Michigan","Nebraska","B10","B10","H","W","75-72",0.985987996187169,0.910429055120592,0.885145582503505,0.431238902828994,0.568761097171006,90.6,"played",0,NA,NA,NA,12,"Q1A"
"7497","NebraskaMichigan1-27",2026-01-27,"conf","Nebraska","Michigan","B10","B10","A","L","72-75",0.910429055120592,0.985987996187169,0.801873422330219,0.0543881878787407,-0.0543881878787407,98.7,"played",0,NA,NA,NA,2,"Q1A"
"7498","New MexicoUNLV1-27",2026-01-27,"conf","New Mexico","UNLV","MWC","MWC","A","W","89-61",0.767469274713212,0.717809844681676,0.801873422330219,0.614062463192215,0.385937536807785,99.2,"played",0,NA,NA,NA,111,"Q2"
