"","date","opponent_rk","opponent","result","location","pace","off_eff","off_eff_rk","off_e_fg_pct","off_to_pct","off_or_pct","off_ftr","off_fgm_2","off_fga_2","off_fg_2_pct","off_fgm_3","off_fga_3","off_fg_3_pct","off_fg_3a_pct","def_eff","def_eff_rk","def_e_fg_pct","def_to_pct","def_or_pct","def_ftr","def_fgm_2","def_fga_2","def_fg_2_pct","def_fgm_3","def_fga_3","def_fg_3_pct","def_fg_3a_pct","wl","team_score","opponent_score","day_date","game_date","season","coach"
"606",2020-01-27,50,"N.C. State","W, 75-65","A",68,110.1,7,50.9,19.1,41.2,43.9,26,48,54.2,2,9,22.2,15.8,95.5,8,45.5,14.7,28.2,10.6,24,46,52.2,4,20,20,30.3,"W",75,65,"Mon Jan 27",20200127,2020,"Roy Williams"
"607",2020-02-01,179,"Boston College","L, 71-70","H",72,97.4,18,39.3,16.7,36.4,50.8,18,42,42.9,4,19,21.1,31.1,98.8,22,52.7,20.9,21.2,30.4,19,38,50,7,18,38.9,32.1,"L",70,71,"Sat Feb 1",20200201,2020,"Roy Williams"
"608",2020-02-03,15,"Florida St.","L, 65-59","A",71,83.6,23,35.3,12.8,29.2,25,15,49,30.6,6,19,31.6,27.9,92.1,6,45.5,22.7,28.1,30.9,19,40,47.5,4,15,26.7,27.3,"L",59,65,"Mon Feb 3",20200203,2020,"Roy Williams"
"609",2020-02-08,5,"Duke","L, 98-96","H",83,103.1,7,54.4,19.3,31.7,55.1,33,57,57.9,3,12,25,17.4,105.3,12,45,12.9,26.9,42.5,30,62,48.4,4,18,22.2,22.5,"L",96,98,"Sat Feb 8",20200208,2020,"Roy Williams"
"610",2020-02-11,103,"Wake Forest","L, 74-57","A",68,84.4,29,34.1,20.7,39.5,25.4,20,47,42.6,1,16,6.2,25.4,109.6,24,50.9,20.7,32.4,40.7,14,31,45.2,9,23,39.1,42.6,"L",57,74,"Tue Feb 11",20200211,2020,"Roy Williams"
"611",2020-02-15,42,"Virginia","L, 64-62","H",63,98.1,6,53,23.7,29.6,28,22,40,55,3,10,30,20,101.2,25,52.8,19,22.6,14.8,15,33,45.5,9,21,42.9,38.9,"L",62,64,"Sat Feb 15",20200215,2020,"Roy Williams"
"612",2020-02-17,57,"Notre Dame","L, 77-76","A",67,113.7,6,48.5,17.9,46.1,21.2,20,46,43.5,8,20,40,30.3,115.2,23,53.2,9,25.6,27,17,29,58.6,11,34,32.4,54,"L",76,77,"Mon Feb 17",20200217,2020,"Roy Williams"
"613",2020-02-22,9,"Louisville","L, 72-55","A",64,85.9,22,45.3,26.6,27.3,15.1,15,31,48.4,6,22,27.3,41.5,112.5,20,54.2,18.8,41.2,18.3,19,35,54.3,9,25,36,41.7,"L",55,72,"Sat Feb 22",20200222,2020,"Roy Williams"
"614",2020-02-25,50,"N.C. State","W, 85-79","H",76,111.2,5,51.6,19.6,36.1,50.8,27,45,60,3,16,18.8,26.2,103.3,16,54.8,18.3,21.9,21,22,37,59.5,8,25,32,40.3,"W",85,79,"Tue Feb 25",20200225,2020,"Roy Williams"
"615",2020-02-29,51,"Syracuse","W, 92-79","A",70,131.3,1,60.2,14.3,40.6,26.6,22,38,57.9,11,26,42.3,40.6,112.8,20,49.2,12.8,27.8,30.2,22,39,56.4,6,24,25,38.1,"W",92,79,"Sat Feb 29",20200229,2020,"Roy Williams"
