score_sentence,team_name_home,team_name_away,total_drives,total_points,point_diff,total_plays,total_sp_td,total_turnovers,total_punts,minutes,predicted_minutes,diff
"Boise State 34, San Diego State 31",,,24,65,3,126,0,2,8,192,211.3086021490301,19.308602149030094
"Central Michigan 34, South Alabama 30",,,22,64,4,129,0,0,9,192,207.4423870388602,15.442387038860204
"TCU 34, SMU 17",,,22,51,17,151,0,2,5,190,202.1884198527104,12.18841985271041
"Utah 14, UCLA 7",,,28,21,7,132,0,3,16,189,209.5450924635905,20.545092463590493
"Louisville 56, Boston College 28",,,24,84,28,134,0,0,7,188,208.48299036077407,20.482990360774068
"Jacksonville State 21, Eastern Michigan 0",,,27,21,21,138,0,3,15,186,203.46473372387996,17.46473372387996
"Texas State 35, Nevada 24",,,22,59,11,136,0,6,4,186,203.57046225744287,17.57046225744287
"Texas 38, Baylor 6",,,25,44,32,143,0,3,8,186,200.7721569127802,14.77215691278019
"Air Force 45, San Jose State 20",,,18,65,25,127,0,1,3,185,191.2079486655102,6.207948665510202
"Penn State 31, Iowa 0",,,22,31,31,130,0,4,10,185,190.41606808140045,5.416068081400454
"Tulane 36, Nicholls State 7",,,23,43,29,124,1,7,7,185,194.41557471802204,9.415574718022043
"Alabama 24, Ole Miss 10",,,21,34,14,131,0,2,8,184,194.85149198778842,10.851491987788421
"Fresno State 53, Kent State 10",,,20,63,43,120,0,0,6,175,188.25427716654943,13.254277166549429
"Liberty 38, Florida International 6",,,25,44,32,122,0,5,8,174,197.70612847945412,23.706128479454122
"Hawai'i 20, New Mexico State 17",,,19,37,3,114,0,2,7,173,192.7528990158317,19.7528990158317
"Michigan 31, Rutgers 7",,,15,38,24,105,0,1,4,171,176.18948393901968,5.189483939019681
"Louisiana 41, UAB 21",,,27,62,20,137,0,6,6,311,211.7586137510331,-99.2413862489669
"Baylor 30, LIU 7",,,19,37,23,118,0,2,6,284,186.37719826964815,-97.62280173035185
"Alabama 17, South Florida 3",,,25,20,14,139,0,3,13,246,201.38979853264385,-44.61020146735615
